Pos,ID,Name,BV,SV,Team,21_xMins,21_Pts,22_xMins,22_Pts,23_xMins,23_Pts,24_xMins,24_Pts,25_xMins,25_Pts
D,1,Cédric,4.2,4.2,Arsenal,1,0.08,4,1.15,3,2.27,4,1.15,5,1.19
G,2,Leno,4.5,4.5,Fulham,88,3.2,88,3.13,87,4.39,86,3.04,86,4.28
M,3,Xhaka,5.0,5.0,Arsenal,79,3.42,76,3.61,75,6.63,75,3.38,72,3.37
M,4,Elneny,4.2,4.2,Arsenal,9,1.11,10,1.18,12,2.37,12,1.23,12,1.25
D,5,Holding,4.2,4.2,Arsenal,1,1.03,10,1.19,5,2.19,5,1.12,6,1.12
M,6,Partey,4.8,4.8,Arsenal,80,3.0,79,3.22,76,5.77,74,2.95,74,3.0
M,7,Ødegaard,6.8,6.8,Arsenal,75,4.71,75,5.22,75,9.6,72,4.57,73,4.77
D,8,Tierney,4.7,4.7,Arsenal,24,1.34,27,1.38,27,2.69,28,1.35,29,1.38
M,9,Pépé,5.3,5.3,Arsenal,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,10,White,4.7,4.7,Arsenal,78,3.81,77,4.32,74,6.84,73,3.62,73,3.73
F,11,Nketiah,6.6,6.6,Arsenal,80,4.44,79,4.49,76,8.45,75,3.93,74,4.12
M,12,Smith Rowe,5.6,5.6,Arsenal,27,2.94,34,3.09,33,6.12,37,3.09,37,3.13
M,13,Saka,8.1,8.0,Arsenal,81,5.16,65,4.08,76,9.91,76,5.07,73,4.93
D,14,Tomiyasu,4.2,4.2,Arsenal,30,1.26,46,1.58,40,2.6,43,1.32,44,1.38
G,15,Ramsdale,4.9,4.9,Arsenal,88,4.05,87,4.37,85,7.71,86,3.89,85,4.0
D,16,Gabriel,5.2,5.2,Arsenal,83,3.88,66,3.55,76,7.14,75,3.79,74,3.89
D,17,Tavares,4.5,4.5,Arsenal,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,18,Sambi,4.3,4.3,Arsenal,5,1.1,6,1.12,6,2.2,5,1.11,6,1.12
M,19,Martinelli,6.8,6.8,Arsenal,77,4.34,74,4.73,73,8.14,70,4.07,67,4.03
D,20,Pablo Marí,4.5,4.5,Arsenal,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,21,Maitland-Niles,4.8,4.8,Southampton,19,1.09,13,1.07,15,1.13,13,1.08,16,1.1
M,22,Torreira,4.5,4.5,Arsenal,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,23,Nelson,4.7,4.7,Arsenal,0,0.13,3,1.36,8,2.81,11,1.53,15,1.78
G,24,Turner,3.9,3.9,Arsenal,2,0.0,3,0.0,5,0.0,4,0.0,5,0.0
M,25,Fábio Vieira,5.7,5.7,Arsenal,20,1.6,26,1.78,20,3.18,19,1.6,21,1.67
D,26,Saliba,5.3,5.3,Arsenal,84,3.65,70,3.95,78,6.78,77,3.61,76,3.72
M,27,Marquinhos,4.6,4.6,Arsenal,3,1.08,7,1.14,5,2.2,5,1.11,5,1.11
F,28,Jesus,7.9,7.9,Arsenal,0,-0.15,0,-0.14,0,-0.35,0,-0.16,0,-0.17
