Pos,ID,Name,BV,SV,Team,24_xMins,24_Pts,25_xMins,25_Pts,26_xMins,26_Pts,27_xMins,27_Pts,28_xMins,28_Pts,29_xMins,29_Pts
F,318,Haaland,12.2,12.2,Man City,74,6.824,75,7.026,71,6.503,71,6.905,72,0.271,73,13.684
M,283,Salah,12.6,12.6,Liverpool,85,5.13,80,11.94,80,5.551,78,5.75,76,2.706,77,9.979
M,13,Saka,8.3,8.1,Arsenal,84,4.993,80,10.305,79,5.317,78,5.046,76,5.109,74,4.75
F,427,Kane,11.8,11.8,Spurs,86,5.29,81,5.398,80,5.517,78,5.596,78,0.274,79,11.103
M,7,Ødegaard,7.0,7.0,Arsenal,82,4.618,80,9.543,77,4.883,77,4.744,75,4.599,74,4.363
G,133,Arrizabalaga,4.7,4.6,Chelsea,88,4.938,87,3.87,86,4.726,85,4.183,82,5.203,83,8.409
D,285,Alexander-Arnold,7.3,7.3,Liverpool,86,3.579,82,9.865,79,3.845,79,4.685,79,2.156,76,6.421
G,15,Ramsdale,4.9,4.9,Arsenal,88,3.928,87,8.457,86,4.731,86,3.742,87,4.539,85,4.193
D,26,Saliba,5.3,5.3,Arsenal,87,3.809,83,8.338,81,4.772,82,3.696,80,4.55,76,4.109
D,284,Robertson,6.8,6.8,Liverpool,83,3.48,78,9.587,77,3.728,75,4.365,73,1.939,75,6.133
D,313,Zinchenko,5.1,5.1,Arsenal,78,3.977,74,8.321,71,4.548,74,3.831,73,4.437,72,4.045
G,281,Alisson,5.4,5.4,Liverpool,88,3.453,88,8.776,87,3.596,86,4.219,87,1.902,87,6.603
M,124,Mitoma,5.3,5.2,Brighton,78,5.447,0,0.0,74,4.83,74,9.581,72,0.212,72,8.462
F,80,Toney,7.6,7.6,Brentford,87,4.767,0,0.0,84,4.81,82,9.183,78,1.218,77,8.099
D,16,Gabriel,5.2,5.2,Arsenal,86,3.643,83,8.014,82,4.601,80,3.517,78,4.345,78,3.949
M,407,Ward-Prowse,6.2,6.2,Southampton,87,3.789,85,3.873,82,3.847,82,7.42,82,0.19,82,7.552
M,261,Maddison,8.0,8.0,Leicester,80,4.066,80,3.923,78,4.424,78,4.322,78,0.863,76,8.721
F,40,Watkins,7.1,7.1,Aston Villa,85,3.477,83,3.794,81,3.829,79,3.56,78,3.806,78,7.222
D,448,Perišić,5.5,5.5,Spurs,76,4.491,76,4.137,74,4.038,72,4.703,74,0.202,71,7.921
G,81,Raya,4.7,4.7,Brentford,88,4.649,0,0.0,86,4.314,87,8.458,87,1.082,85,6.856
D,357,Trippier,6.1,6.0,Newcastle,86,3.853,0,0.0,83,2.977,80,5.398,78,4.886,80,8.206
D,10,White,4.7,4.7,Arsenal,70,3.462,70,7.523,70,4.321,66,3.037,67,3.643,66,3.32
F,690,João Félix,7.6,7.6,Chelsea,74,4.435,65,3.556,62,3.39,64,3.427,60,3.218,62,6.654
G,307,Ederson,5.4,5.4,Man City,88,4.555,88,4.166,86,3.927,86,4.068,86,0.172,86,7.63
G,31,Martínez,4.9,4.9,Aston Villa,89,2.845,88,3.601,87,3.997,86,3.316,87,4.181,87,6.335
G,113,Sánchez,4.6,4.6,Brighton,89,4.298,0,0.0,86,4.313,86,8.216,85,0.174,85,7.125
M,333,Fernandes,9.9,9.9,Man Utd,87,5.123,0,0.0,83,4.286,82,5.17,81,0.493,81,8.94
M,493,Gibbs-White,5.5,5.5,Nott'm Forest,82,3.252,79,3.569,76,3.838,76,3.39,73,3.125,72,6.715
D,280,Van Dijk,6.5,6.5,Liverpool,85,2.778,82,7.779,81,2.941,80,3.667,80,1.683,78,4.97
M,104,Groß,5.5,5.5,Brighton,80,4.275,0,0.0,79,4.095,76,7.758,77,0.185,75,7.202
G,238,Meslier,4.5,4.5,Leeds,89,3.679,88,4.061,87,3.19,86,3.182,86,2.057,86,7.231
G,455,Fabianski,5.0,5.0,West Ham,89,3.359,89,4.879,88,3.276,86,4.187,86,0.119,85,7.521
G,182,Pickford,4.4,4.4,Everton,89,3.635,88,6.365,87,3.734,86,3.318,87,3.106,85,3.179
M,116,Mac Allister,5.4,5.4,Brighton,82,4.255,0,0.0,78,4.009,78,7.933,76,0.179,75,6.949
M,465,Bowen,8.0,8.0,West Ham,83,3.892,80,4.39,77,3.753,75,3.917,72,0.133,72,7.194
G,478,Sá,5.0,5.0,Wolves,89,4.268,88,6.319,88,3.452,88,3.164,87,2.097,86,3.953
M,301,De Bruyne,12.4,12.4,Man City,66,3.641,72,4.378,70,4.098,68,4.04,68,0.161,65,6.558
F,394,Johnson,5.7,5.7,Nott'm Forest,82,3.146,80,3.349,76,3.472,75,3.121,77,3.216,75,6.553
G,152,Guaita,4.4,4.4,Crystal Palace,88,3.309,87,3.068,85,3.576,84,6.096,84,2.906,85,3.805
M,107,March,5.1,5.1,Brighton,79,4.266,0,0.0,73,3.757,73,7.323,74,0.176,74,7.166
D,586,Estupiñán,4.7,4.7,Brighton,81,4.525,0,0.0,76,4.19,73,7.502,73,0.149,74,6.203
G,426,Forster,3.9,3.9,Spurs,88,3.856,88,3.434,87,3.606,86,4.311,86,0.179,69,6.628
D,146,James,5.8,5.8,Chelsea,0,0,72,3.222,67,3.797,66,3.164,68,4.551,64,5.791
M,335,Rashford,7.3,7.0,Man Utd,83,4.732,0,0.0,76,4.13,75,4.552,73,0.433,74,8.039
G,376,Pope,5.5,5.5,Newcastle,90,3.235,0,0.0,87,2.774,87,4.592,86,4.255,86,7.03
M,264,Barnes,6.7,6.7,Leicester,73,3.491,72,3.502,71,3.714,72,3.657,68,0.692,68,6.611
M,480,Neves,5.4,5.4,Wolves,87,3.694,84,6.602,80,3.336,78,3.115,72,1.729,72,3.156
D,366,Schär,5.2,5.2,Newcastle,83,3.366,0,0.0,77,2.666,75,4.683,73,4.162,73,6.73
M,3,Xhaka,4.9,4.9,Arsenal,78,3.15,74,6.226,71,3.095,72,3.063,71,3.034,69,2.889
D,128,Thiago Silva,5.5,5.5,Chelsea,0,0,63,2.401,64,3.098,63,2.64,64,3.611,62,5.154
D,92,Pinnock,4.4,4.4,Brentford,85,4.231,0,0.0,79,3.838,74,7.188,74,0.89,72,5.254
G,254,Ward,4.0,4.0,Leicester,87,3.008,86,3.016,86,3.653,86,3.556,84,0.664,84,7.428
G,422,Bazunu,4.5,4.5,Southampton,85,2.917,84,3.009,82,3.263,81,5.782,81,0.148,80,5.988
D,430,Dier,5.1,5.1,Spurs,87,3.617,82,3.144,78,3.311,78,4.153,77,0.165,77,6.7
D,526,Mee,4.9,4.9,Brentford,87,4.103,0,0.0,84,3.748,82,7.198,79,0.884,78,5.089
D,106,Dunk,4.7,4.7,Brighton,88,3.947,0,0.0,85,3.765,84,7.192,82,0.144,81,5.938
D,222,Ayling,4.5,4.5,Leeds,82,3.607,77,3.918,77,2.794,75,2.687,73,1.747,72,6.037
D,459,Dawson,4.8,4.8,Wolves,82,4.125,79,5.468,77,2.955,77,2.719,77,1.93,74,3.548
D,39,Mings,4.3,4.3,Aston Villa,65,1.837,84,3.458,79,3.832,77,2.912,72,3.677,70,4.957
D,484,Kilman,4.3,4.3,Wolves,86,4.061,83,5.275,80,2.927,80,2.618,80,1.91,78,3.61
M,42,Buendía,5.7,5.7,Aston Villa,69,3.102,65,3.037,65,3.036,65,2.868,65,3.078,63,5.277
M,45,Bailey,4.4,4.4,Aston Villa,69,3.227,67,3.061,65,3.041,64,2.675,65,3.087,63,5.277
D,199,Tarkowski,4.2,4.2,Everton,84,3.348,81,5.299,78,3.451,76,2.887,76,2.616,74,2.642
M,186,Iwobi,5.4,5.4,Everton,84,3.102,80,5.654,77,3.093,76,2.869,75,2.726,75,2.754
F,210,Mitrović,6.9,6.8,Fulham,68,3.036,80,3.985,78,3.759,77,3.609,79,1.641,76,3.858
D,377,Botman,4.5,4.5,Newcastle,85,2.983,0,0.0,79,2.29,78,4.343,76,3.981,74,6.238
D,443,Romero,4.9,4.9,Spurs,87,3.402,83,2.935,82,3.139,79,3.933,78,0.154,77,6.273
M,433,Højbjerg,5.5,5.5,Spurs,86,3.238,85,3.174,84,3.229,83,3.453,82,0.161,80,6.478
M,428,Son,11.6,11.6,Spurs,71,3.935,67,3.225,63,3.092,64,3.252,64,0.16,62,5.994
D,85,Henry,4.5,4.5,Brentford,79,3.99,0,0.0,73,3.482,74,6.648,72,0.799,73,4.699
M,171,Olise,5.4,5.4,Crystal Palace,75,3.248,73,2.95,72,3.09,69,5.317,67,2.333,65,2.649
