Pos,ID,Name,BV,SV,Team,28_xMins,28_Pts,29_xMins,29_Pts,30_xMins,30_Pts,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts
M,283,Salah,12.8,12.8,Liverpool,0,0.0,81,9.771,79,4.956,77,5.832,76,6.06,76,5.538,73,8.562,75,5.498,75,5.441
D,357,Trippier,6.0,5.9,Newcastle,84,5.148,81,8.853,78,4.685,78,5.889,78,4.488,76,4.92,78,5.885,77,4.564,75,5.093
F,427,Kane,11.7,11.7,Spurs,86,5.533,82,5.474,81,4.673,81,5.739,80,4.859,78,5.17,76,4.436,77,5.515,78,5.239
M,333,Fernandes,9.7,9.7,Man Utd,0,0.0,84,9.857,83,5.704,82,5.413,82,1.072,81,4.673,80,9.243,81,4.961,79,5.557
F,318,Haaland,12.1,12.1,Man City,0,0.0,76,5.08,74,5.974,71,6.023,71,0.048,70,5.09,70,11.18,68,5.881,71,6.189
M,124,Mitoma,5.5,5.3,Brighton,0,0.0,74,9.288,77,5.33,77,6.244,75,0.039,73,4.83,73,8.745,72,5.586,72,4.698
M,116,Mac Allister,5.5,5.4,Brighton,0,0.0,75,9.048,78,4.857,77,5.705,76,0.038,74,4.825,73,8.94,74,5.716,76,4.593
M,13,Saka,8.5,8.2,Arsenal,84,5.683,80,5.339,79,4.145,77,4.895,78,5.569,77,3.86,77,4.726,76,4.553,73,4.062
M,261,Maddison,8.1,8.1,Leicester,85,4.319,83,9.359,79,4.883,79,3.46,75,4.405,71,3.889,73,4.213,74,4.154,75,3.472
M,335,Rashford,7.4,7.0,Man Utd,0,0.0,78,9.298,77,5.188,76,5.018,75,0.958,74,4.337,74,7.943,71,4.253,74,4.822
G,376,Pope,5.4,5.4,Newcastle,88,4.194,88,7.336,88,3.994,87,4.854,87,3.766,86,4.139,85,4.767,86,3.853,84,4.344
F,40,Watkins,7.4,7.4,Aston Villa,85,4.409,82,8.079,81,4.378,82,3.976,80,3.976,80,4.294,78,3.881,78,4.18,76,3.924
G,133,Arrizabalaga,4.7,4.6,Chelsea,88,4.96,86,8.364,84,4.659,83,3.978,84,0.833,84,4.423,84,3.61,83,4.656,83,5.404
D,285,Alexander-Arnold,7.3,7.3,Liverpool,0,0.0,81,6.681,79,3.493,79,4.367,79,5.59,79,4.318,78,7.559,78,4.328,77,4.217
M,107,March,5.1,5.1,Brighton,0,0.0,79,8.578,77,4.558,75,5.023,75,0.033,74,4.305,75,7.91,75,5.051,75,4.166
D,366,Schär,5.0,5.0,Newcastle,83,4.477,78,7.344,73,3.564,74,4.698,72,3.385,72,3.907,71,4.565,71,3.343,70,3.921
M,7,Ødegaard,6.9,6.9,Arsenal,82,5.227,79,4.974,78,3.975,76,4.699,74,4.887,74,3.671,73,4.03,72,3.93,73,3.779
G,81,Raya,4.8,4.8,Brentford,89,4.113,87,6.493,85,3.909,86,4.22,86,4.189,86,3.727,85,4.811,85,3.172,83,4.276
G,102,Steele,3.9,3.9,Brighton,0,0.0,83,8.511,75,4.105,75,4.991,72,0.029,70,4.142,70,7.602,70,4.93,66,3.247
G,254,Ward,4.0,4.0,Leicester,88,3.343,88,7.836,87,4.366,86,2.667,86,4.37,85,3.65,85,4.317,86,3.685,84,3.06
D,377,Botman,4.5,4.5,Newcastle,86,4.003,81,6.539,76,3.381,79,4.374,79,3.341,78,3.816,78,4.561,76,3.291,74,3.817
G,281,Alisson,5.4,5.4,Liverpool,0,0.0,88,6.507,87,3.32,86,3.83,86,4.825,87,3.845,87,6.78,87,3.929,87,3.803
D,284,Robertson,6.8,6.8,Liverpool,0,0.0,80,6.315,77,3.287,77,4.14,73,4.924,75,3.906,73,6.629,72,3.78,74,3.799
M,301,De Bruyne,12.1,12.1,Man City,0,0.0,69,4.408,68,4.774,69,4.876,69,0.043,69,4.473,67,9.283,65,4.35,66,4.434
D,358,Burn,4.5,4.5,Newcastle,83,3.942,80,6.396,79,3.376,78,4.293,77,3.264,77,3.733,76,4.43,75,3.148,75,3.757
G,455,Fabianski,4.9,4.9,West Ham,0,0.0,88,8.378,84,3.824,85,3.196,85,4.037,87,3.205,85,6.449,84,3.551,83,3.497
D,586,Estupiñán,4.8,4.7,Brighton,0,0.0,68,7.313,73,3.619,74,4.619,71,0.025,70,4.263,71,7.642,68,4.857,70,3.281
M,160,Zaha,7.2,7.2,Crystal Palace,86,3.5,82,4.048,80,3.899,77,4.037,78,4.174,77,3.998,76,4.042,75,3.48,77,4.162
M,465,Bowen,8.0,8.0,West Ham,0,0.0,75,7.781,70,3.652,74,3.39,72,3.856,70,3.287,72,6.416,70,3.416,69,3.394
G,31,Martínez,4.9,4.9,Aston Villa,89,3.995,89,6.55,88,4.264,88,3.447,87,3.132,86,3.824,87,2.87,86,3.673,86,3.359
G,574,Neto,4.5,4.5,Bournemouth,88,3.378,87,6.901,86,3.35,85,3.044,86,3.712,85,3.764,84,3.687,84,3.471,84,3.744
D,280,Van Dijk,6.5,6.5,Liverpool,0,0.0,84,5.666,82,2.999,78,3.734,78,4.924,79,3.718,77,6.502,77,3.712,78,3.601
D,106,Dunk,4.7,4.7,Brighton,0,0.0,85,7.481,84,3.392,85,4.175,83,0.024,82,4.136,83,7.481,80,4.992,81,3.108
D,313,Zinchenko,5.2,5.2,Arsenal,80,5.65,78,4.711,75,2.756,74,3.905,74,4.979,72,2.372,72,3.847,71,3.222,72,3.347
G,152,Guaita,4.4,4.4,Crystal Palace,54,1.611,88,4.083,88,3.771,86,4.181,87,4.565,87,4.104,86,4.232,86,3.461,86,4.574
G,15,Ramsdale,4.9,4.9,Arsenal,88,5.097,88,4.238,87,2.944,86,3.757,86,4.726,87,2.788,85,3.962,85,3.495,86,3.548
D,139,Chilwell,5.9,5.9,Chelsea,79,4.592,76,7.227,75,4.037,73,3.323,72,0.636,71,3.623,70,2.753,69,3.813,69,4.529
M,104,Groß,5.4,5.4,Brighton,0,0.0,77,7.524,73,3.656,76,4.568,76,0.031,74,3.797,74,6.928,75,4.417,72,3.588
D,332,Shaw,5.2,5.2,Man Utd,0,0.0,80,7.397,77,4.823,75,4.231,75,0.815,72,2.915,72,6.358,73,3.477,73,4.35
D,16,Gabriel,5.2,5.2,Arsenal,86,5.361,84,4.429,83,2.67,81,3.85,79,4.975,80,2.34,78,3.976,75,3.256,76,3.352
G,478,Sá,5.0,5.0,Wolves,89,4.06,88,4.125,87,3.878,87,3.728,87,3.656,87,4.54,86,3.086,86,3.956,85,3.15
F,66,Solanke,5.5,5.5,Bournemouth,85,3.566,82,6.733,79,3.555,78,3.327,77,3.544,75,3.427,75,3.352,77,3.296,75,3.348
M,374,Bruno Guimarães,5.5,5.5,Newcastle,85,3.407,80,6.144,80,3.419,77,4.184,77,3.01,76,3.336,76,3.508,75,3.227,75,3.502
