Pos,ID,Name,BV,SV,Team,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,18_xMins,18_Pts,19_xMins,19_Pts,20_xMins,20_Pts,21_xMins,21_Pts
M,308.0,Salah,128,128,Liverpool,87.0,7.435,87.0,7.466,87.0,6.668,87.0,5.399,87.0,7.226,87.0,7.677,87.0,6.589,87.0,6.836,87.0,6.047,87.0,7.267,87.0,5.881,87.0,7.63
M,516.0,Son,95,95,Spurs,77.0,6.707,77.0,6.344,77.0,7.135,77.0,6.349,77.0,5.639,77.0,6.948,77.0,5.873,77.0,7.125,77.0,6.897,77.0,5.801,77.0,7.461,77.0,6.439
M,19.0,Saka,86,86,Arsenal,86.0,6.594,86.0,4.738,86.0,6.308,86.0,5.365,86.0,6.305,86.0,6.185,86.0,5.171,86.0,4.987,86.0,4.825,86.0,6.151,86.0,5.758,86.0,5.88
F,355.0,Haaland,140,140,Man City,88.0,5.943,88.0,7.252,88.0,5.292,88.0,5.327,88.0,5.624,88.0,5.462,88.0,7.88,88.0,6.065,0.0,0.0,88.0,6.101,88.0,8.141,88.0,4.89
M,504.0,Maddison,81,81,Spurs,80.0,5.562,80.0,5.255,80.0,5.965,80.0,5.484,80.0,4.776,80.0,5.876,80.0,5.045,80.0,5.944,80.0,5.71,80.0,5.09,80.0,6.266,80.0,5.476
M,143.0,Mitoma,65,65,Brighton,80.0,5.439,80.0,4.993,80.0,6.408,80.0,5.389,80.0,4.64,80.0,4.966,80.0,6.397,80.0,4.447,80.0,5.146,80.0,4.782,80.0,5.161,80.0,5.552
M,216.0,Sterling,70,70,Chelsea,80.0,5.07,80.0,4.705,80.0,4.324,80.0,4.349,80.0,4.488,80.0,4.972,80.0,5.09,80.0,6.574,80.0,5.517,80.0,5.372,80.0,6.293,80.0,5.529
M,526.0,Bowen,74,74,West Ham,84.0,5.06,84.0,4.729,84.0,5.509,84.0,6.294,84.0,5.172,84.0,4.526,84.0,5.218,84.0,5.455,84.0,4.91,84.0,4.349,84.0,4.292,84.0,6.274
D,430.0,Trippier,70,70,Newcastle,87.0,5.245,87.0,4.535,87.0,5.366,87.0,4.835,87.0,5.22,87.0,4.769,87.0,4.179,87.0,5.864,87.0,5.636,87.0,6.387,87.0,3.883,87.0,3.584
F,60.0,Watkins,83,83,Aston Villa,86.0,5.705,86.0,4.968,86.0,4.956,86.0,4.309,86.0,5.002,86.0,4.113,86.0,4.362,86.0,4.518,86.0,5.772,86.0,4.565,86.0,5.739,86.0,4.595
M,373.0,Fernandes,83,83,Man Utd,88.0,4.221,88.0,4.989,88.0,5.918,88.0,4.719,88.0,4.172,88.0,4.488,88.0,5.867,88.0,4.398,88.0,5.101,88.0,4.729,88.0,5.23,88.0,4.631
M,108.0,Mbeumo,67,67,Brentford,83.0,4.6,83.0,5.389,83.0,4.544,83.0,4.801,83.0,6.097,83.0,4.492,83.0,5.855,83.0,4.918,0.0,0.0,83.0,5.903,83.0,5.066,83.0,5.64
M,134.0,Groß,63,63,Brighton,75.0,4.842,75.0,4.443,75.0,5.327,75.0,4.833,75.0,4.158,75.0,4.469,75.0,5.15,75.0,4.181,75.0,4.62,75.0,4.316,75.0,4.598,75.0,5.092
M,14.0,Ødegaard,85,85,Arsenal,86.0,5.39,86.0,3.917,86.0,5.251,86.0,4.32,86.0,5.159,86.0,5.032,86.0,4.205,86.0,4.098,86.0,3.986,86.0,4.906,86.0,4.741,86.0,4.842
M,599.0,Diaby,67,67,Aston Villa,75.0,5.114,75.0,4.725,75.0,4.742,75.0,4.272,75.0,4.763,75.0,3.842,75.0,4.07,75.0,4.284,75.0,5.138,75.0,4.357,75.0,5.03,75.0,4.542
