,Pos,ID,Name,BV,SV,Team,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,18_xMins,18_Pts,19_xMins,19_Pts,20_xMins,20_Pts,21_xMins,21_Pts,22_xMins,22_Pts,23_xMins,23_Pts,24_xMins,24_Pts,25_xMins,25_Pts,26_xMins,26_Pts
0,M,308.0,Salah,131,131,Liverpool,87.0,8.548,87.0,7.071,87.0,6.89,87.0,6.058,87.0,7.433,87.0,5.947,0.0,7.241,0.0,6.293,0.0,5.683,0.0,7.669,87.0,6.452,87.0,8.786
1,M,516.0,Son,96,96,Spurs,77.0,6.781,77.0,5.688,77.0,6.914,77.0,6.721,77.0,6.159,77.0,7.079,0.0,6.173,0.0,6.199,0.0,6.484,0.0,6.295,77.0,7.017,77.0,5.631
2,F,355.0,Haaland,140,140,Man City,92.0,5.141,92.0,7.388,92.0,6.068,0.0,0.0,92.0,5.616,92.0,11.692,92.0,4.685,92.0,6.717,92.0,5.194,92.0,5.757,92.0,4.978,92.0,6.518
3,M,353.0,Foden,75,75,Man City,74.0,5.029,74.0,5.747,74.0,5.653,0.0,0.0,74.0,5.328,74.0,9.901,74.0,4.636,74.0,5.869,74.0,5.032,74.0,5.527,74.0,4.806,74.0,5.56
4,M,108.0,Mbeumo,71,71,Brentford,85.0,5.092,85.0,6.157,85.0,5.28,0.0,0.0,85.0,5.919,85.0,8.81,0.0,5.981,0.0,5.035,0.0,4.608,0.0,5.661,85.0,4.853,85.0,5.376
5,M,526.0,Bowen,76,76,West Ham,85.0,4.889,85.0,5.363,85.0,5.611,85.0,5.103,85.0,4.501,85.0,5.032,85.0,6.436,85.0,5.553,85.0,4.988,85.0,4.606,85.0,5.506,85.0,4.895
6,F,415.0,Isak,75,75,Newcastle,70.0,4.783,70.0,4.597,70.0,5.083,70.0,6.19,70.0,5.395,70.0,4.369,70.0,4.45,70.0,4.569,70.0,6.306,70.0,5.273,70.0,5.661,70.0,4.375
7,M,19.0,Saka,89,89,Arsenal,85.0,5.657,85.0,4.574,85.0,4.931,85.0,4.361,85.0,5.253,85.0,5.103,85.0,5.311,85.0,5.26,85.0,4.582,85.0,5.015,85.0,5.437,85.0,4.521
8,M,373.0,Fernandes,83,83,Man Utd,88.0,4.526,88.0,5.399,88.0,4.316,88.0,4.817,88.0,4.616,88.0,5.144,88.0,4.853,88.0,5.071,88.0,5.16,88.0,4.428,88.0,5.305,88.0,5.264
9,M,216.0,Sterling,70,70,Chelsea,75.0,4.51,75.0,4.715,75.0,6.125,75.0,4.997,75.0,4.985,75.0,5.873,75.0,5.006,75.0,3.992,75.0,5.142,75.0,4.861,75.0,3.83,75.0,4.61
10,D,290.0,Alexander-Arnold,80,80,Liverpool,85.0,5.492,85.0,4.741,85.0,4.935,85.0,4.039,85.0,5.225,85.0,3.832,85.0,4.954,85.0,4.102,85.0,3.616,85.0,6.264,85.0,3.871,85.0,6.542
11,D,430.0,Trippier,70,70,Newcastle,87.0,4.372,87.0,4.026,87.0,5.382,87.0,5.197,87.0,6.015,87.0,3.306,87.0,3.145,87.0,3.642,87.0,6.444,87.0,4.821,87.0,5.916,87.0,3.379
12,M,14.0,Ødegaard,83,83,Arsenal,80.0,5.132,80.0,4.238,80.0,4.543,80.0,4.041,80.0,4.873,80.0,4.782,80.0,4.916,80.0,4.918,80.0,4.186,80.0,4.687,80.0,5.019,80.0,4.144
13,M,412.0,Gordon,60,60,Newcastle,80.0,4.411,80.0,4.158,80.0,4.818,80.0,5.714,80.0,5.026,80.0,3.761,80.0,3.695,80.0,4.082,80.0,5.996,80.0,4.757,80.0,4.932,80.0,3.874
14,M,557.0,Hwang,56,56,Wolves,80.0,5.124,80.0,5.036,80.0,4.52,80.0,3.913,80.0,4.137,80.0,4.621,80.0,4.2,80.0,4.367,80.0,3.795,80.0,4.262,80.0,4.143,80.0,6.092
15,M,303.0,Luis Díaz,74,74,Liverpool,73.0,4.767,73.0,4.456,73.0,4.402,73.0,4.082,73.0,4.648,73.0,4.047,73.0,4.586,73.0,4.127,73.0,3.987,73.0,4.871,73.0,4.19,73.0,5.003
16,M,689.0,Kudus,66,66,West Ham,75.0,4.133,75.0,4.527,75.0,4.717,75.0,4.266,75.0,3.913,75.0,4.204,75.0,5.635,75.0,4.707,75.0,4.192,75.0,3.976,75.0,4.655,75.0,4.108
17,F,60.0,Watkins,84,84,Aston Villa,86.0,3.693,86.0,3.91,86.0,3.976,86.0,5.408,86.0,4.142,86.0,4.742,86.0,4.214,86.0,3.784,86.0,5.364,86.0,4.212,86.0,4.451,86.0,4.698
