Pos,ID,Name,BV,SV,Team,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts
M,308.0,Salah,125,125,Liverpool,75.0,6.128,75.0,6.391,75.0,6.46,75.0,5.963,75.0,5.24,75.0,6.595,75.0,6.73,75.0,7.657
F,355.0,Haaland,140,140,Man City,85.0,6.464,85.0,6.052,85.0,6.779,85.0,6.668,85.0,4.742,85.0,4.932,85.0,5.397,85.0,6.746
M,516.0,Son,90,90,Spurs,82.0,6.099,82.0,6.413,82.0,4.807,82.0,5.023,82.0,6.226,82.0,6.059,82.0,5.543,82.0,5.668
M,373.0,Fernandes,85,85,Man Utd,85.0,4.759,85.0,5.077,85.0,6.011,85.0,5.541,85.0,5.459,85.0,6.033,85.0,4.772,85.0,5.678
D,430.0,Trippier,65,65,Newcastle,87.0,4.158,87.0,5.142,87.0,5.859,87.0,6.764,87.0,5.143,87.0,5.531,87.0,5.512,87.0,4.443
M,19.0,Saka,87,87,Arsenal,85.0,5.219,85.0,5.532,85.0,5.568,85.0,5.635,85.0,4.44,85.0,5.222,85.0,6.186,85.0,4.438
M,396.0,Rashford,90,90,Man Utd,82.0,4.445,82.0,4.593,82.0,5.582,82.0,5.221,82.0,5.13,82.0,6.49,82.0,4.396,82.0,5.439
M,14.0,Ødegaard,85,85,Arsenal,82.0,4.892,82.0,5.381,82.0,5.239,82.0,5.498,82.0,4.238,82.0,4.995,82.0,6.689,82.0,4.304
M,353.0,Foden,76,76,Man City,70.0,5.47,70.0,5.142,70.0,5.618,70.0,5.397,70.0,4.468,70.0,4.617,70.0,4.733,70.0,5.582
M,303.0,Luis Díaz,77,77,Liverpool,75.0,4.967,75.0,5.269,75.0,5.2,75.0,4.91,75.0,4.29,75.0,5.322,75.0,5.486,75.0,5.425
M,504.0,Maddison,77,77,Spurs,81.0,5.444,81.0,5.679,81.0,4.192,81.0,4.495,81.0,5.502,81.0,5.386,81.0,4.858,81.0,5.107
D,290.0,Alexander-Arnold,79,79,Liverpool,85.0,4.748,85.0,5.01,85.0,5.319,85.0,4.444,85.0,3.648,85.0,5.767,85.0,6.082,85.0,5.388
M,108.0,Mbeumo,68,68,Brentford,83.0,5.428,83.0,4.156,83.0,5.334,83.0,5.242,83.0,4.472,83.0,5.672,83.0,4.686,83.0,5.18
M,226.0,Eze,64,64,Crystal Palace,85.0,5.351,85.0,4.634,85.0,5.154,85.0,4.402,85.0,5.315,85.0,4.278,85.0,4.954,85.0,5.214
M,12.0,Martinelli,80,80,Arsenal,75.0,4.625,75.0,5.043,75.0,4.909,75.0,5.151,75.0,4.017,75.0,4.701,75.0,6.412,75.0,4.098
M,216.0,Sterling,71,71,Chelsea,82.0,5.193,82.0,5.0,82.0,4.693,82.0,4.875,82.0,5.083,82.0,4.125,82.0,4.638,82.0,4.681
F,415.0,Isak,77,77,Newcastle,75.0,4.092,75.0,4.642,75.0,5.616,75.0,5.005,75.0,4.638,75.0,4.7,75.0,4.818,75.0,4.242
D,307.0,Robertson,65,65,Liverpool,80.0,4.348,80.0,4.619,80.0,4.909,80.0,4.063,80.0,3.294,80.0,5.349,80.0,5.661,80.0,4.989
M,143.0,Mitoma,66,66,Brighton,80.0,4.25,80.0,4.509,80.0,5.305,80.0,4.667,80.0,4.308,80.0,3.987,80.0,5.147,80.0,5.011
M,599.0,Diaby,66,66,Aston Villa,76.0,3.944,76.0,4.574,76.0,4.432,76.0,4.087,76.0,4.824,76.0,4.759,76.0,5.194,76.0,4.818
F,211.0,N.Jackson,71,71,Chelsea,78.0,4.854,78.0,4.794,78.0,4.342,78.0,4.601,78.0,4.807,78.0,3.817,78.0,4.332,78.0,4.371
F,343.0,Álvarez,66,66,Man City,72.0,4.548,72.0,4.413,72.0,4.597,72.0,4.588,72.0,4.006,72.0,4.048,72.0,4.177,72.0,4.578
M,134.0,Groß,64,64,Brighton,85.0,4.074,85.0,4.03,85.0,4.949,85.0,4.237,85.0,4.16,85.0,3.719,85.0,4.79,85.0,4.599
F,60.0,Watkins,80,80,Aston Villa,84.0,3.652,84.0,4.203,84.0,4.135,84.0,3.71,84.0,4.522,84.0,4.345,84.0,5.112,84.0,4.515
M,309.0,Szoboszlai,70,70,Liverpool,76.0,4.082,76.0,4.364,76.0,4.331,76.0,4.053,76.0,3.658,76.0,4.474,76.0,4.614,76.0,4.543
G,424.0,Pope,55,55,Newcastle,89.0,3.409,89.0,4.136,89.0,4.636,89.0,5.47,89.0,4.074,89.0,4.452,89.0,4.341,89.0,3.594
G,291.0,Alisson,55,55,Liverpool,89.0,4.029,89.0,4.118,89.0,4.448,89.0,3.755,89.0,3.24,89.0,4.804,89.0,5.046,89.0,4.416
G,352.0,Ederson,56,56,Man City,88.0,5.026,88.0,4.003,88.0,5.24,88.0,4.141,88.0,3.129,88.0,3.673,88.0,3.456,88.0,5.13
M,526.0,Bowen,70,70,West Ham,82.0,4.639,82.0,3.516,82.0,3.608,82.0,4.797,82.0,3.657,82.0,4.088,82.0,4.561,82.0,4.078
F,297.0,Gakpo,74,74,Liverpool,75.0,3.911,75.0,4.217,75.0,4.053,75.0,3.95,75.0,3.564,75.0,4.157,75.0,4.232,75.0,4.85
M,630.0,Barkley,50,50,Luton,73.0,4.184,73.0,4.156,73.0,4.353,73.0,4.157,73.0,4.129,73.0,4.249,73.0,3.919,73.0,3.747
D,350.0,Dias,55,55,Man City,75.0,4.872,75.0,3.927,75.0,5.213,75.0,4.161,75.0,2.845,75.0,3.492,75.0,3.25,75.0,5.104
M,354.0,Grealish,74,74,Man City,74.0,4.354,74.0,4.071,74.0,4.488,74.0,4.245,74.0,3.557,74.0,3.722,74.0,3.702,74.0,4.472
D,195.0,Chilwell,58,58,Chelsea,80.0,4.885,80.0,4.271,80.0,3.835,80.0,4.053,80.0,4.437,80.0,3.296,80.0,3.815,80.0,3.836
G,230.0,Johnstone,45,45,Crystal Palace,75.0,4.561,75.0,3.609,75.0,4.451,75.0,3.467,75.0,4.579,75.0,3.204,75.0,4.067,75.0,4.233
D,519.0,Udogie,46,46,Spurs,79.0,4.369,79.0,5.086,79.0,2.839,79.0,3.247,79.0,4.45,79.0,4.459,79.0,3.553,79.0,3.905
M,6.0,Havertz,73,73,Arsenal,75.0,3.911,75.0,4.16,75.0,4.132,75.0,4.259,75.0,3.402,75.0,3.942,75.0,4.617,75.0,3.467
M,140.0,March,66,66,Brighton,80.0,3.669,80.0,3.841,80.0,4.55,80.0,3.926,80.0,3.726,80.0,3.391,80.0,4.397,80.0,4.247
M,509.0,Richarlison,69,69,Spurs,77.0,4.214,77.0,4.39,77.0,3.304,77.0,3.435,77.0,4.243,77.0,4.173,77.0,3.793,77.0,3.897
D,197.0,Colwill,45,45,Chelsea,84.0,4.756,84.0,4.117,84.0,3.742,84.0,3.906,84.0,4.313,84.0,3.114,84.0,3.678,84.0,3.674
M,501.0,Kulusevski,70,70,Spurs,77.0,4.158,77.0,4.354,77.0,3.378,77.0,3.498,77.0,4.213,77.0,4.09,77.0,3.732,77.0,3.831
F,437.0,Awoniyi,65,65,Nott'm Forest,75.0,3.822,75.0,4.175,75.0,3.333,75.0,3.848,75.0,3.825,75.0,4.94,75.0,3.404,75.0,3.9
F,119.0,Wissa,62,62,Brentford,75.0,4.054,75.0,3.405,75.0,3.98,75.0,4.048,75.0,3.631,75.0,4.09,75.0,3.774,75.0,3.935
D,131.0,Estupiñán,53,53,Brighton,80.0,3.393,80.0,3.408,80.0,5.281,80.0,3.614,80.0,3.44,80.0,2.51,80.0,4.885,80.0,4.383
M,267.0,Andreas,55,55,Fulham,80.0,3.379,80.0,4.403,80.0,3.741,80.0,3.842,80.0,4.387,80.0,3.865,80.0,3.544,80.0,3.731
M,447.0,Gibbs-White,59,59,Nott'm Forest,80.0,3.741,80.0,4.398,80.0,3.331,80.0,3.806,80.0,3.734,80.0,4.491,80.0,3.521,80.0,3.826
M,402.0,Almirón,64,64,Newcastle,75.0,3.369,75.0,3.772,75.0,4.16,75.0,4.263,75.0,3.824,75.0,3.847,75.0,3.993,75.0,3.44
D,42.0,Digne,45,45,Aston Villa,78.0,2.703,78.0,3.848,78.0,3.387,78.0,3.247,78.0,4.098,78.0,4.098,78.0,5.129,78.0,4.104
