Pos,ID,Name,BV,SV,Team,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,18_xMins,18_Pts,19_xMins,19_Pts,20_xMins,20_Pts,21_xMins,21_Pts,22_xMins,22_Pts
M,308.0,Salah,126,126,Liverpool,87.0,5.673,87.0,6.848,87.0,7.527,87.0,7.49,87.0,6.653,87.0,5.125,87.0,7.069,87.0,7.531,87.0,6.195,87.0,6.68,87.0,5.881,87.0,7.36,87.0,5.709,87.0,7.419,87.0,6.265
M,516.0,Son,94,94,Spurs,75.0,7.83,75.0,6.732,75.0,6.095,75.0,5.96,75.0,6.604,75.0,6.081,75.0,5.178,75.0,6.431,75.0,5.496,75.0,6.679,75.0,6.536,75.0,5.412,75.0,6.975,75.0,5.997,75.0,6.12
F,355.0,Haaland,141,141,Man City,88.0,5.494,88.0,5.34,88.0,6.078,88.0,7.314,88.0,5.851,88.0,5.254,88.0,5.897,88.0,5.919,88.0,8.142,88.0,6.277,0.0,0.0,88.0,6.295,88.0,8.391,88.0,5.294,88.0,7.373
M,19.0,Saka,86,86,Arsenal,75.0,4.765,75.0,4.869,75.0,6.352,75.0,4.771,75.0,6.167,75.0,4.991,75.0,5.977,75.0,5.881,75.0,5.041,75.0,4.728,75.0,4.758,75.0,5.895,75.0,5.449,75.0,5.466,75.0,5.446
M,373.0,Fernandes,84,84,Man Utd,88.0,5.303,88.0,5.721,88.0,4.254,88.0,5.409,88.0,6.11,88.0,5.038,88.0,4.309,88.0,4.914,88.0,6.008,88.0,4.339,88.0,5.396,88.0,5.181,88.0,5.547,88.0,5.094,88.0,5.579
M,504.0,Maddison,80,80,Spurs,85.0,5.618,85.0,5.646,85.0,5.074,85.0,4.919,85.0,5.531,85.0,5.198,85.0,4.159,85.0,5.494,85.0,4.519,85.0,5.595,85.0,5.45,85.0,4.572,85.0,5.737,85.0,5.127,85.0,5.248
M,526.0,Bowen,73,73,West Ham,84.0,4.442,84.0,4.856,84.0,5.32,84.0,4.901,84.0,5.636,84.0,5.502,84.0,5.177,84.0,4.705,84.0,5.374,84.0,5.569,84.0,5.051,84.0,4.526,84.0,4.454,84.0,6.376,84.0,5.58
M,134.0,Groß,63,63,Brighton,75.0,4.556,75.0,4.136,75.0,5.229,75.0,4.779,75.0,5.832,75.0,5.103,75.0,4.479,75.0,4.921,75.0,5.759,75.0,4.486,75.0,4.777,75.0,4.755,75.0,5.077,75.0,5.561,75.0,5.48
D,430.0,Trippier,68,68,Newcastle,87.0,4.804,87.0,5.463,87.0,5.089,87.0,4.178,87.0,5.121,87.0,4.713,87.0,5.092,87.0,4.749,87.0,4.113,87.0,5.807,87.0,5.458,87.0,6.301,87.0,3.543,87.0,3.395,87.0,3.984
M,14.0,Ødegaard,85,85,Arsenal,84.0,4.217,84.0,4.324,84.0,5.516,84.0,4.327,84.0,5.312,84.0,4.47,84.0,5.234,84.0,5.156,84.0,4.499,84.0,4.207,84.0,4.302,84.0,5.07,84.0,4.949,84.0,4.829,84.0,4.975
D,36.0,Cash,49,49,Aston Villa,80.0,4.937,80.0,4.999,80.0,6.117,80.0,5.018,80.0,5.296,80.0,4.041,80.0,4.991,80.0,3.076,80.0,3.897,80.0,4.166,80.0,6.162,80.0,4.216,80.0,5.97,80.0,4.63,80.0,3.723
M,664.0,Ward-Prowse,63,63,West Ham,83.0,4.084,83.0,4.424,83.0,4.876,83.0,4.452,83.0,5.149,83.0,5.02,83.0,4.765,83.0,4.253,83.0,4.919,83.0,5.079,83.0,4.624,83.0,4.132,83.0,4.075,83.0,5.927,83.0,5.089
M,353.0,Foden,76,76,Man City,74.0,4.634,74.0,4.669,74.0,4.838,74.0,5.599,74.0,4.698,74.0,4.648,74.0,4.899,74.0,4.766,74.0,5.463,74.0,5.23,0.0,0.0,74.0,5.007,74.0,5.804,74.0,4.483,74.0,5.813
M,108.0,Mbeumo,68,68,Brentford,83.0,4.637,83.0,5.647,83.0,4.412,83.0,5.258,83.0,4.206,83.0,4.479,83.0,5.832,83.0,4.232,83.0,5.475,83.0,4.803,0.0,0.0,83.0,5.717,83.0,4.755,83.0,5.522,83.0,4.482
M,143.0,Mitoma,66,66,Brighton,73.0,4.034,73.0,3.766,73.0,4.843,73.0,4.561,73.0,5.958,73.0,4.752,73.0,4.179,73.0,4.406,73.0,4.983,73.0,4.021,73.0,4.395,73.0,4.351,73.0,4.528,73.0,4.899,73.0,5.708
D,290.0,Alexander-Arnold,79,79,Liverpool,85.0,3.44,85.0,5.411,85.0,5.914,85.0,5.255,85.0,4.701,85.0,2.714,85.0,5.461,85.0,5.307,85.0,4.299,85.0,4.734,85.0,3.821,85.0,5.131,85.0,3.685,85.0,4.926,85.0,4.35
D,307.0,Robertson,66,66,Liverpool,80.0,3.514,80.0,5.367,80.0,5.801,80.0,5.137,80.0,4.635,80.0,2.796,80.0,5.341,80.0,5.19,80.0,4.226,80.0,4.682,80.0,3.79,80.0,5.015,80.0,3.674,80.0,4.851,80.0,4.317
F,343.0,Álvarez,70,70,Man City,80.0,4.431,80.0,4.517,80.0,4.84,80.0,5.428,80.0,4.523,80.0,4.393,80.0,4.757,80.0,4.807,80.0,5.338,80.0,4.942,0.0,0.0,80.0,4.884,80.0,5.512,80.0,4.268,80.0,5.659
M,216.0,Sterling,70,70,Chelsea,75.0,4.916,75.0,4.166,75.0,4.504,75.0,4.336,75.0,3.872,75.0,3.942,75.0,4.114,75.0,4.44,75.0,4.602,75.0,5.182,75.0,4.803,75.0,4.667,75.0,4.951,75.0,4.881,75.0,3.977
D,395.0,Varane,50,50,Man Utd,80.0,4.539,80.0,5.093,80.0,3.108,80.0,4.666,80.0,5.831,80.0,4.547,80.0,3.348,80.0,4.367,80.0,5.47,80.0,3.353,80.0,4.507,80.0,4.324,80.0,4.824,80.0,4.526,80.0,4.771
F,60.0,Watkins,80,80,Aston Villa,86.0,4.584,86.0,4.518,86.0,4.655,86.0,4.603,86.0,4.592,86.0,3.989,86.0,4.574,86.0,3.706,86.0,4.052,86.0,4.204,86.0,4.703,86.0,4.229,86.0,4.691,86.0,4.297,86.0,3.89
M,501.0,Kulusevski,70,70,Spurs,78.0,4.681,78.0,4.66,78.0,4.327,78.0,4.18,78.0,4.635,78.0,4.278,78.0,3.6,78.0,4.592,78.0,3.843,78.0,4.636,78.0,4.529,78.0,3.84,78.0,4.798,78.0,4.237,78.0,4.319
F,85.0,Solanke,64,64,Bournemouth,88.0,4.199,88.0,4.524,88.0,4.683,88.0,3.723,88.0,3.887,88.0,5.142,88.0,4.239,88.0,4.14,88.0,4.118,88.0,5.246,88.0,4.449,88.0,4.503,88.0,4.004,88.0,3.925,88.0,4.325
M,396.0,Rashford,88,88,Man Utd,84.0,4.336,84.0,4.69,84.0,3.597,84.0,4.523,84.0,4.859,84.0,4.475,84.0,3.644,84.0,4.141,84.0,4.808,84.0,3.678,84.0,4.442,84.0,4.279,84.0,4.638,84.0,4.325,84.0,4.617
F,8.0,Jesus,80,80,Arsenal,75.0,3.648,75.0,3.995,75.0,5.358,75.0,3.747,75.0,4.706,75.0,4.117,75.0,4.652,75.0,5.287,75.0,4.103,75.0,3.759,75.0,3.707,75.0,4.294,75.0,4.425,75.0,4.212,75.0,4.658
D,313.0,Van Dijk,60,60,Liverpool,85.0,3.176,85.0,5.058,85.0,5.575,85.0,4.873,85.0,4.359,85.0,2.48,85.0,5.082,85.0,4.94,85.0,3.952,85.0,4.406,85.0,3.495,85.0,4.764,85.0,3.41,85.0,4.542,85.0,4.055
M,309.0,Szoboszlai,70,70,Liverpool,78.0,3.81,78.0,4.476,78.0,4.724,78.0,4.549,78.0,4.198,78.0,3.595,78.0,4.563,78.0,4.591,78.0,4.136,78.0,4.237,78.0,3.957,78.0,4.55,78.0,3.834,78.0,4.481,78.0,4.064
G,113.0,Raya,48,48,Arsenal,85.0,3.082,85.0,3.578,85.0,5.772,85.0,3.289,85.0,5.554,85.0,3.86,85.0,5.126,85.0,4.704,85.0,3.635,85.0,3.605,85.0,3.228,85.0,4.689,85.0,4.336,85.0,4.673,85.0,4.427
G,291.0,Alisson,55,55,Liverpool,89.0,3.417,89.0,4.831,89.0,5.228,89.0,4.561,89.0,4.273,89.0,3.025,89.0,4.801,89.0,4.618,89.0,3.928,89.0,4.322,89.0,3.655,89.0,4.499,89.0,3.54,89.0,4.318,89.0,3.987
G,275.0,Leno,47,47,Fulham,89.0,5.156,89.0,3.65,89.0,3.346,89.0,4.181,89.0,3.62,89.0,4.752,89.0,3.322,89.0,4.847,89.0,4.441,89.0,3.377,89.0,5.194,89.0,4.304,89.0,3.752,89.0,3.593,89.0,4.451
D,29.0,White,55,55,Arsenal,84.0,2.754,84.0,3.309,84.0,5.878,84.0,2.937,84.0,5.647,84.0,3.565,84.0,5.219,84.0,4.758,84.0,3.288,84.0,3.507,84.0,2.955,84.0,4.693,84.0,4.252,84.0,4.674,84.0,4.467
F,168.0,Foster,50,50,Burnley,75.0,3.873,75.0,3.939,75.0,4.279,75.0,4.1,75.0,3.713,75.0,4.186,75.0,5.164,75.0,4.291,75.0,3.509,75.0,4.079,75.0,4.258,75.0,3.529,75.0,3.924,75.0,5.111,75.0,3.435
F,326.0,Morris,56,56,Luton,75.0,3.947,75.0,4.334,75.0,4.064,75.0,3.786,75.0,4.023,75.0,4.207,75.0,4.023,75.0,3.94,75.0,3.692,75.0,4.359,75.0,3.817,75.0,4.552,75.0,3.976,75.0,4.588,75.0,3.775
M,567.0,Neto,57,57,Wolves,84.0,3.982,84.0,4.28,84.0,3.701,84.0,4.493,84.0,3.836,84.0,4.209,84.0,3.757,84.0,4.598,84.0,4.493,84.0,4.171,84.0,3.869,84.0,3.887,84.0,4.144,84.0,3.565,84.0,4.067
F,293.0,Darwin,74,74,Liverpool,60.0,3.507,60.0,3.848,60.0,4.401,60.0,5.317,60.0,3.684,60.0,3.476,60.0,3.922,60.0,5.342,60.0,3.624,60.0,3.693,60.0,3.575,60.0,4.885,60.0,3.498,60.0,4.499,60.0,3.61
G,524.0,Areola,42,42,West Ham,89.0,3.481,89.0,3.431,89.0,4.409,89.0,3.639,89.0,4.667,89.0,4.243,89.0,4.196,89.0,3.654,89.0,3.989,89.0,4.561,89.0,4.021,89.0,3.363,89.0,3.664,89.0,4.313,89.0,4.668
M,199.0,Enzo,49,49,Chelsea,85.0,4.366,85.0,3.547,85.0,4.026,85.0,3.673,85.0,3.398,85.0,3.373,85.0,3.712,85.0,3.702,85.0,3.988,85.0,4.871,85.0,4.239,85.0,4.05,85.0,4.55,85.0,4.346,85.0,3.415
M,249.0,A.Doucouré,55,55,Everton,83.0,4.305,83.0,3.495,83.0,4.024,83.0,3.66,83.0,3.958,83.0,4.039,83.0,4.174,83.0,3.59,83.0,3.866,83.0,4.233,83.0,3.794,83.0,3.468,83.0,4.14,83.0,3.969,83.0,4.105
D,220.0,Andersen,48,48,Crystal Palace,85.0,4.865,85.0,2.876,85.0,3.758,85.0,4.57,85.0,4.464,85.0,4.48,85.0,3.885,85.0,4.915,85.0,3.25,85.0,2.343,85.0,3.477,85.0,3.197,85.0,3.896,85.0,3.043,85.0,5.273
M,539.0,Paquetá,60,60,West Ham,86.0,3.485,86.0,3.576,86.0,4.065,86.0,3.546,86.0,4.262,86.0,4.027,86.0,3.823,86.0,3.539,86.0,3.888,86.0,4.251,86.0,3.722,86.0,3.382,86.0,3.567,86.0,4.115,86.0,4.264
G,49.0,Martínez,49,49,Aston Villa,89.0,3.852,89.0,4.044,89.0,4.924,89.0,3.865,89.0,4.183,89.0,3.285,89.0,3.949,89.0,2.805,89.0,3.355,89.0,3.331,89.0,4.927,89.0,3.374,89.0,4.746,89.0,3.649,89.0,3.157
