Pos,ID,Name,BV,SV,Team,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts
D,1,Cédric,4.5,4.5,Arsenal,5,0.0,5,0.0,7,0.0,7,0.0,9,0.0
G,2,Leno,4.5,4.5,Fulham,31,0.0,50,0.0,66,0.0,75,0.0,81,0.0
M,3,Xhaka,5.0,5.0,Arsenal,80,2.82,75,2.94,72,2.87,70,2.62,64,2.12
M,4,Elneny,4.5,4.5,Arsenal,11,0.0,12,0.0,12,0.0,11,0.0,13,0.0
D,5,Holding,4.5,4.5,Arsenal,8,0.0,9,0.0,8,0.0,7,0.0,7,0.0
M,6,Partey,5.0,5.0,Arsenal,83,3.25,80,3.59,78,3.55,76,3.21,75,3.18
M,7,Ødegaard,6.5,6.5,Arsenal,74,3.69,72,3.89,72,3.87,71,3.53,70,3.33
D,8,Tierney,5.0,5.0,Arsenal,25,1.15,36,1.3,47,1.47,53,1.64,53,1.55
M,9,Pépé,5.4,5.4,Arsenal,14,0.0,14,0.0,13,0.0,13,0.0,12,0.0
D,10,White,4.5,4.5,Arsenal,83,3.7,70,4.0,65,3.5,62,2.66,60,2.29
F,11,Nketiah,6.9,6.9,Arsenal,30,2.04,29,2.34,30,2.38,28,1.84,27,1.77
M,12,Smith Rowe,5.9,5.9,Arsenal,6,0.0,12,0.0,16,0.0,23,0.0,27,0.0
M,13,Saka,8.0,8.0,Arsenal,78,5.48,76,5.66,76,5.66,73,4.84,71,4.71
D,14,Tomiyasu,4.5,4.5,Arsenal,14,0.0,39,0.0,57,0.0,64,0.0,68,0.0
G,15,Ramsdale,5.0,5.0,Arsenal,88,4.01,89,4.21,88,4.21,87,4.29,86,3.77
D,16,Gabriel,5.0,5.0,Arsenal,80,4.07,78,4.31,71,4.09,69,3.72,66,3.0
D,17,Tavares,4.5,4.5,Arsenal,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,18,Sambi,4.5,4.5,Arsenal,10,1.12,9,1.18,8,1.23,6,1.01,7,1.02
M,19,Martinelli,6.1,6.1,Arsenal,69,4.57,67,4.2,64,3.63,61,2.95,57,2.58
D,20,Pablo Marí,4.5,4.5,Arsenal,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,21,Maitland-Niles,5.0,5.0,Arsenal,1,0.0,1,0.0,2,0.0,2,0.0,4,0.0
M,22,Torreira,4.5,4.5,Arsenal,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,23,Nelson,5.0,5.0,Arsenal,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
G,24,Turner,4.0,4.0,Arsenal,2,0.0,1,0.0,2,0.0,3,0.0,4,0.0
M,25,Fábio Vieira,5.9,5.9,Arsenal,4,0.0,7,0.0,11,0.0,17,0.0,22,0.0
D,26,Saliba,4.5,4.5,Arsenal,79,,70,,63,,60,,61,
M,27,Marquinhos,4.9,4.9,Arsenal,1,0.0,1,0.0,0,0.0,0,0.0,1,0.0
F,28,Jesus,8.0,8.0,Arsenal,79,4.56,77,4.71,75,4.55,75,4.17,75,4.03
M,29,Coutinho,7.0,7.0,Aston Villa,65,3.19,65,2.92,61,2.46,62,2.36,63,2.5
F,30,Ings,7.0,7.0,Aston Villa,47,1.62,48,1.67,47,1.67,48,1.65,47,1.62
G,31,Martínez,5.0,5.0,Aston Villa,89,3.99,88,3.88,88,3.8,87,3.37,86,2.28
D,32,Chambers,4.5,4.5,Aston Villa,5,0.0,8,0.0,11,0.0,13,0.0,13,0.0
D,33,Digne,5.0,5.0,Aston Villa,82,3.96,79,3.75,76,3.5,75,2.74,75,1.68
M,34,Traoré,5.0,5.0,Aston Villa,6,0.0,6,0.0,7,0.0,7,0.0,7,0.0
G,35,Olsen,4.0,4.0,Aston Villa,1,0.0,2,0.0,2,0.0,2,0.0,4,0.0
M,36,Sanson,4.5,4.5,Aston Villa,4,0.0,5,0.0,7,0.0,7,0.0,9,0.0
M,37,McGinn,5.5,5.5,Aston Villa,82,3.25,77,3.01,77,3.09,74,2.65,72,2.35
D,38,Hause,4.5,4.5,Aston Villa,0,0.0,0,0.0,1,0.0,2,0.0,3,0.0
D,39,Mings,4.5,4.5,Aston Villa,20,0.0,24,0.0,27,0.0,25,0.0,29,0.0
F,40,Watkins,7.4,7.4,Aston Villa,80,4.11,76,3.75,78,3.91,77,3.64,75,3.49
M,41,Nakamba,4.5,4.5,Aston Villa,3,0.0,5,0.0,6,0.0,6,0.0,8,0.0
M,42,Buendía,6.0,6.0,Aston Villa,35,1.69,37,1.57,35,1.63,37,1.52,40,1.61
D,43,Cash,5.0,5.0,Aston Villa,84,4.05,81,3.7,79,3.54,77,2.86,75,1.66
D,44,Konsa,4.5,4.5,Aston Villa,76,3.61,73,3.37,69,3.13,72,2.58,69,1.66
M,45,Bailey,5.0,5.0,Aston Villa,48,1.56,46,1.49,46,1.49,44,1.49,43,1.48
M,46,Douglas Luiz,5.0,5.0,Aston Villa,27,1.17,29,1.17,31,1.15,31,1.17,34,1.19
M,47,Ramsey,5.5,5.5,Aston Villa,51,1.48,49,1.32,49,1.36,50,1.35,47,1.25
M,48,Chukwuemeka,4.5,4.5,Chelsea,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,49,Iroegbunam,4.5,4.5,Aston Villa,0,0.0,1,0.0,1,0.0,2,0.0,2,0.0
D,50,Diego Carlos,5.0,5.0,Aston Villa,81,3.92,79,3.67,78,3.5,77,2.89,74,1.75
M,51,El Ghazi,5.0,5.0,Aston Villa,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
F,52,Davis,5.4,5.4,Aston Villa,0,0.0,2,0.0,4,0.0,4,0.0,5,0.0
M,53,Kamara,5.0,5.0,Aston Villa,75,2.91,75,2.74,73,2.76,70,2.49,69,2.3
F,54,Archer,4.5,4.5,Aston Villa,13,1.2,15,1.22,15,1.16,17,1.26,16,1.22
M,55,Philogene-Bidace,4.5,4.5,Aston Villa,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
D,56,Guilbert,4.0,4.0,Aston Villa,4,0.0,5,0.0,5,0.0,7,0.0,8,0.0
D,57,Smith,4.5,4.5,Bournemouth,77,0.0,76,0.0,70,0.0,64,0.0,63,0.0
M,58,Stanislas,5.0,5.0,Bournemouth,8,0.0,10,0.0,12,0.0,13,0.0,13,0.0
D,59,Fredericks,4.5,4.5,Bournemouth,0,0.0,1,0.0,14,0.0,25,0.0,30,0.0
M,60,Brooks,5.5,5.5,Bournemouth,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
M,61,Lowe,5.5,5.5,Bournemouth,6,0.0,8,0.0,9,0.0,8,0.0,10,0.0
F,62,Moore,5.5,5.5,Bournemouth,21,0.0,24,0.0,26,0.0,25,0.0,27,0.0
M,63,Marcondes,5.0,5.0,Bournemouth,3,0.0,5,0.0,7,0.0,6,0.0,9,0.0
M,64,Lerma,5.0,5.0,Bournemouth,78,0.0,76,0.0,75,0.0,72,0.0,72,0.0
D,65,Stacey,4.5,4.5,Bournemouth,19,0.0,22,0.0,21,0.0,21,0.0,20,0.0
F,66,Solanke,6.0,6.0,Bournemouth,84,0.0,79,0.0,76,0.0,78,0.0,74,0.0
M,67,Cook,5.0,5.0,Bournemouth,35,0.0,37,0.0,37,0.0,37,0.0,37,0.0
M,68,Pearson,4.5,4.5,Bournemouth,40,0.0,40,0.0,44,0.0,45,0.0,44,0.0
M,69,Christie,5.5,5.5,Bournemouth,44,0.0,45,0.0,44,0.0,47,0.0,45,0.0
