Pos,ID,Name,BV,SV,Team,30_xMins,30_Pts,31_xMins,31_Pts,32_xMins,32_Pts,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts
M,283,Salah,12.8,12.8,Liverpool,83,5.01,81,5.879,78,6.35,77,5.688,75,11.111,75,5.447,76,5.661,74,5.512,74,5.617
F,318,Haaland,12.0,12.0,Man City,69,5.856,75,5.841,0,0.0,70,4.981,70,11.555,69,5.83,68,5.94,71,9.678,72,5.643
M,124,Mitoma,5.6,5.5,Brighton,82,4.825,77,4.601,0,0.0,76,5.262,77,10.137,76,5.484,75,8.118,76,9.46,74,4.761
M,116,Mac Allister,5.5,5.4,Brighton,83,4.384,79,4.061,0,0.0,75,4.519,74,8.844,74,4.849,75,7.052,75,8.229,73,3.96
M,335,Rashford,7.3,7.0,Man Utd,82,5.15,80,5.06,0,0.0,76,4.426,75,8.469,75,4.536,75,4.774,73,8.53,71,4.338
M,333,Fernandes,9.6,9.6,Man Utd,84,5.286,79,5.035,0,0.0,79,4.339,77,8.531,76,4.447,74,4.565,74,8.586,72,4.403
D,357,Trippier,6.1,6.0,Newcastle,86,4.359,82,4.327,78,4.482,78,4.807,77,5.699,76,3.912,76,8.045,76,5.296,77,4.114
M,301,De Bruyne,12.0,12.0,Man City,76,5.505,72,5.209,0,0.0,69,4.372,68,9.443,67,4.423,65,4.442,67,7.708,64,3.803
F,427,Kane,11.7,11.7,Spurs,87,4.507,83,5.506,82,4.24,79,4.948,79,4.371,79,5.328,80,4.926,78,5.157,79,5.137
G,102,Steele,3.9,3.9,Brighton,88,3.665,87,3.768,0,0.0,85,4.487,84,8.641,83,4.942,83,6.299,82,7.968,82,3.923
D,285,Alexander-Arnold,7.3,7.3,Liverpool,85,3.272,82,4.249,79,5.503,77,4.238,78,9.211,78,4.328,76,4.212,73,4.079,75,4.41
