Pos,ID,Name,BV,SV,Team,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts
F,318,Haaland,12.3,12.3,Man City,77,5.14,73,12.149,73,6.42,70,6.032,71,10.625,70,5.882
M,124,Mitoma,5.6,5.5,Brighton,82,5.331,78,10.179,78,5.401,77,8.538,77,9.607,76,4.802
M,283,Salah,13.0,12.9,Liverpool,80,5.879,78,12.345,79,6.195,76,5.923,75,5.554,75,5.793
M,116,Mac Allister,5.5,5.4,Brighton,80,4.654,77,8.785,78,4.707,76,7.421,74,8.015,76,4.073
M,107,March,5.2,5.2,Brighton,82,4.581,79,8.69,80,4.643,79,7.241,78,8.208,75,3.932
D,586,Estupiñán,4.8,4.8,Brighton,83,4.667,80,8.725,79,5.027,79,6.051,76,7.659,76,3.644
M,335,Rashford,7.1,6.9,Man Utd,72,4.109,75,8.504,76,4.622,75,4.809,74,9.254,73,4.394
G,102,Steele,3.9,3.9,Brighton,74,4.21,75,8.198,80,4.662,74,6.074,73,7.34,73,3.527
M,301,De Bruyne,12.1,12.1,Man City,75,4.778,65,8.403,67,4.626,65,4.381,64,7.554,62,3.662
M,333,Fernandes,9.5,9.5,Man Utd,21,1.42,57,5.433,80,4.708,80,5.318,79,9.969,79,5.224
G,307,Ederson,5.4,5.4,Man City,89,3.381,88,8.403,88,4.469,88,4.195,87,7.494,87,3.564
D,106,Dunk,4.8,4.8,Brighton,85,3.981,84,7.595,83,4.377,82,5.18,80,6.72,80,3.151
D,357,Trippier,6.2,6.0,Newcastle,86,4.695,81,5.516,80,3.557,80,8.264,77,4.917,78,4.043
D,285,Alexander-Arnold,7.5,7.4,Liverpool,84,4.1,82,9.246,81,4.34,77,4.123,77,4.3,77,4.621
M,104,Groß,5.4,5.4,Brighton,75,3.699,71,6.827,75,3.781,75,6.27,70,6.486,71,3.242
D,332,Shaw,5.1,5.1,Man Utd,78,3.455,77,6.605,76,3.544,74,4.416,74,7.736,74,4.065
F,427,Kane,11.5,11.5,Spurs,85,4.938,82,4.297,81,5.135,79,4.775,79,5.157,77,5.153
G,327,De Gea,5.0,5.0,Man Utd,89,3.174,87,6.336,87,3.3,86,4.154,87,7.322,86,3.826
D,559,Colwill,4.4,4.4,Brighton,72,3.717,70,6.95,70,3.969,69,4.697,68,6.031,66,2.702
M,13,Saka,8.4,8.4,Arsenal,84,4.152,80,5.003,78,4.407,75,4.265,75,4.984,72,4.813
G,133,Arrizabalaga,4.7,4.7,Chelsea,79,4.124,78,3.271,76,4.396,77,5.158,75,6.655,74,3.81
G,281,Alisson,5.4,5.4,Liverpool,89,3.691,88,8.105,87,3.77,87,3.676,85,3.91,85,3.987
M,305,Grealish,7.2,7.2,Man City,75,3.751,68,7.945,63,3.356,63,3.3,63,5.85,61,2.767
F,40,Watkins,7.7,7.5,Aston Villa,88,4.834,84,4.403,83,4.716,82,4.749,79,3.969,81,4.108
G,376,Pope,5.4,5.4,Newcastle,89,3.985,88,4.557,87,3.19,86,7.16,86,4.117,85,3.622
M,346,Andreas,4.4,4.4,Fulham,79,3.946,78,6.967,77,4.269,74,4.032,73,3.76,73,3.464
D,284,Robertson,6.8,6.8,Liverpool,72,3.479,70,7.67,75,3.751,75,3.624,74,3.785,75,4.107
M,465,Bowen,8.0,8.0,West Ham,75,3.379,78,7.442,79,3.918,77,3.96,73,3.963,73,3.745
G,175,Johnstone,4.4,4.4,Crystal Palace,85,4.608,81,4.625,81,3.956,72,4.951,65,3.906,64,4.258
D,280,Van Dijk,6.6,6.6,Liverpool,86,3.428,83,7.848,80,3.596,79,3.434,78,3.685,78,3.896
D,312,Dias,6.0,6.0,Man City,74,3.015,66,6.777,67,3.772,67,3.522,65,5.875,66,2.809
M,315,Rodri,5.6,5.6,Man City,81,2.997,75,6.408,77,3.502,77,3.391,77,6.104,76,3.067
M,7,Ødegaard,6.7,6.7,Arsenal,83,3.774,80,4.434,78,3.978,77,3.947,75,4.516,75,4.52
F,594,Isak,6.8,6.8,Newcastle,68,4.167,66,3.9,67,3.606,63,6.719,63,3.574,61,3.108
M,593,Casemiro,4.9,4.9,Man Utd,81,3.384,75,6.266,73,3.083,69,3.259,68,5.856,68,3.048
G,455,Fabianski,4.9,4.9,West Ham,87,3.052,88,6.562,87,3.54,86,3.448,86,4.098,86,3.652
G,2,Leno,4.6,4.6,Fulham,87,3.423,86,5.697,86,3.953,86,3.958,84,4.124,85,3.154
D,330,Maguire,4.7,4.7,Man Utd,77,2.699,73,5.132,74,2.738,73,3.67,73,6.411,75,3.427
D,377,Botman,4.5,4.5,Newcastle,83,3.631,81,4.334,80,2.675,78,6.284,79,3.783,79,3.061
M,261,Maddison,8.0,8.0,Leicester,73,3.798,81,4.519,79,4.201,77,3.655,78,3.536,76,3.922
F,66,Solanke,5.6,5.5,Bournemouth,84,4.014,81,4.01,80,3.811,80,3.886,77,3.685,76,3.873
F,145,Havertz,7.4,7.4,Chelsea,71,4.021,68,3.492,65,3.437,64,3.287,63,5.814,63,2.873
F,690,João Félix,7.3,7.3,Chelsea,71,3.839,68,3.201,68,3.737,66,3.335,66,5.834,65,2.853
M,19,Martinelli,6.9,6.9,Arsenal,77,3.918,71,4.165,70,3.709,68,3.587,67,3.838,63,3.472
M,428,Son,11.6,11.6,Spurs,74,3.929,71,3.386,71,3.974,69,3.643,70,3.831,69,3.909
D,358,Burn,4.5,4.5,Newcastle,82,3.556,78,4.225,76,2.542,75,5.898,73,3.505,74,2.878
M,120,Caicedo,5.0,5.0,Brighton,79,2.811,76,5.329,66,2.383,72,4.557,74,4.971,75,2.449
G,81,Raya,4.9,4.9,Brentford,88,3.809,88,4.814,88,3.074,86,4.057,86,3.48,85,3.06
M,374,Bruno Guimarães,5.5,5.5,Newcastle,82,3.309,81,3.508,79,2.889,81,6.19,78,3.299,78,2.978
M,535,Tavernier,4.7,4.7,Bournemouth,76,3.961,76,3.974,74,3.51,73,3.505,73,3.285,72,3.661
D,461,Zouma,4.4,4.4,West Ham,81,2.595,82,5.675,81,3.183,80,3.121,76,3.909,77,3.385
F,125,Enciso,4.6,4.6,Brighton,54,2.776,50,5.218,39,2.484,37,4.413,34,4.621,33,2.339
D,290,Konaté,4.8,4.8,Liverpool,53,1.563,78,7.119,78,3.253,75,3.016,75,3.282,71,3.377
M,407,Ward-Prowse,6.2,6.2,Southampton,86,4.053,85,3.281,83,3.827,82,3.786,81,3.173,80,3.209
G,478,Sá,5.0,5.0,Wolves,89,4.21,88,2.932,87,3.797,86,3.11,87,4.32,86,2.914
F,28,Jesus,8.2,8.2,Arsenal,77,3.535,73,3.628,70,3.253,71,3.293,70,3.896,69,3.668
D,139,Chilwell,5.8,5.8,Chelsea,77,3.867,72,2.537,67,3.481,65,4.01,68,4.688,63,2.493
G,574,Neto,4.5,4.5,Bournemouth,88,3.572,87,3.644,86,3.432,86,3.469,85,3.127,86,3.593
D,167,Guéhi,4.5,4.5,Crystal Palace,86,3.457,82,3.389,81,2.672,79,3.91,78,3.145,77,4.241
D,170,Mitchell,4.4,4.4,Crystal Palace,81,3.574,78,3.492,75,2.693,73,3.818,72,3.068,73,4.119
F,319,Álvarez,6.0,6.0,Man City,31,1.976,44,5.483,40,2.918,39,2.912,41,4.723,41,2.678
G,15,Ramsdale,4.9,4.9,Arsenal,89,2.63,87,3.683,86,2.98,87,3.171,87,3.935,87,4.276
D,337,Lindelöf,4.1,4.1,Man Utd,66,2.434,66,4.782,65,2.405,63,3.008,64,5.385,61,2.574
D,366,Schär,5.1,5.1,Newcastle,46,1.313,62,3.074,75,2.713,76,6.567,75,3.793,74,3.107
D,165,Andersen,4.5,4.5,Crystal Palace,84,3.404,83,3.344,81,2.62,79,3.869,76,3.028,76,4.128
G,31,Martínez,5.0,5.0,Aston Villa,69,3.651,87,3.124,88,3.976,87,3.612,87,2.812,87,3.215
D,302,Stones,5.5,5.5,Man City,74,3.34,62,5.702,62,3.062,58,2.272,57,3.988,57,1.888
D,10,White,5.0,5.0,Arsenal,83,2.148,80,3.763,79,2.831,77,2.991,77,4.163,75,4.302
