Pos,ID,Name,BV,SV,Team,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts
M,333,Fernandes,9.4,9.4,Man Utd,86,5.206,83,5.72,82,10.781,81,5.614
F,318,Haaland,12.4,12.3,Man City,64,5.571,67,5.602,73,10.128,68,5.48
M,124,Mitoma,5.6,5.5,Brighton,82,5.156,78,8.075,74,8.632,72,4.207
M,335,Rashford,7.2,6.9,Man Utd,80,5.066,79,5.366,75,9.801,74,4.989
M,116,Mac Allister,5.5,5.4,Brighton,79,4.967,79,7.623,75,8.284,70,3.834
M,283,Salah,13.0,12.9,Liverpool,83,6.167,82,6.208,80,5.971,78,6.251
G,102,Steele,4.0,3.9,Brighton,88,4.534,86,6.345,85,8.037,84,3.933
D,586,Estupiñán,4.9,4.9,Brighton,83,4.965,81,6.123,77,8.01,73,3.652
M,107,March,5.3,5.3,Brighton,82,4.339,79,7.069,75,7.537,73,3.596
M,301,De Bruyne,12.2,12.2,Man City,61,3.902,64,4.293,68,8.66,66,4.194
D,357,Trippier,6.1,6.0,Newcastle,85,3.561,82,8.324,82,4.948,82,4.135
D,332,Shaw,5.1,5.1,Man Utd,83,3.663,82,4.681,79,8.005,76,4.278
F,427,Kane,11.4,11.4,Spurs,87,5.205,85,4.902,81,5.224,78,5.254
G,133,Arrizabalaga,4.6,4.6,Chelsea,84,4.145,86,5.07,83,6.547,84,3.723
M,13,Saka,8.2,8.2,Arsenal,83,4.357,80,4.479,77,5.245,77,5.376
G,307,Ederson,5.4,5.4,Man City,81,4.468,80,4.095,72,7.122,82,3.652
G,327,De Gea,5.0,5.0,Man Utd,89,3.425,89,4.197,87,7.378,87,3.976
D,106,Dunk,4.8,4.8,Brighton,87,3.949,84,4.95,80,6.716,77,3.158
D,342,Dalot,4.7,4.7,Man Utd,75,3.534,71,4.216,69,6.826,70,3.876
G,376,Pope,5.4,5.4,Newcastle,89,3.111,88,7.077,87,4.154,86,3.594
G,175,Johnstone,4.4,4.4,Crystal Palace,88,3.827,86,4.709,83,4.255,82,4.984
M,7,Ødegaard,6.6,6.6,Arsenal,82,3.995,80,4.052,78,4.837,77,4.873
D,285,Alexander-Arnold,7.6,7.4,Liverpool,80,4.478,82,4.133,83,4.448,79,4.68
M,593,Casemiro,4.9,4.9,Man Utd,83,3.412,79,3.699,77,6.892,77,3.585
F,40,Watkins,7.6,7.4,Aston Villa,88,4.643,85,4.653,84,3.975,83,4.028
D,139,Chilwell,5.7,5.7,Chelsea,81,3.943,76,4.879,77,5.186,73,3.076
M,104,Groß,5.4,5.4,Brighton,49,1.801,67,5.349,74,6.567,71,3.163
M,169,Eze,5.5,5.5,Crystal Palace,82,4.079,77,4.443,77,4.233,73,3.981
M,428,Son,11.5,11.5,Spurs,79,4.426,76,4.107,75,4.096,72,3.984
M,160,Zaha,7.2,7.2,Crystal Palace,64,2.943,81,4.634,79,4.344,77,4.61
D,337,Lindelöf,4.1,4.1,Man Utd,82,3.025,81,3.999,71,6.017,71,3.481
D,366,Schär,5.1,5.1,Newcastle,84,2.745,82,6.599,77,3.881,76,3.173
F,594,Isak,6.9,6.9,Newcastle,67,3.643,59,6.1,58,3.196,63,3.373
D,284,Robertson,6.8,6.8,Liverpool,82,4.189,78,3.8,77,4.08,75,4.109
M,261,Maddison,7.9,7.9,Leicester,85,4.471,82,3.719,80,3.468,78,4.306
D,377,Botman,4.5,4.5,Newcastle,85,2.636,81,6.328,79,3.748,78,3.099
D,358,Burn,4.5,4.5,Newcastle,83,2.644,79,6.324,77,3.748,74,3.021
D,128,Thiago Silva,5.4,5.4,Chelsea,80,3.557,78,4.588,75,4.64,73,2.894
M,371,Joelinton,6.0,6.0,Newcastle,80,3.121,72,6.44,70,3.39,66,2.676
G,281,Alisson,5.4,5.4,Liverpool,89,3.913,87,3.634,88,3.925,87,4.003
M,374,Bruno Guimarães,5.5,5.5,Newcastle,85,2.9,81,6.217,79,3.322,80,3.007
M,465,Bowen,8.0,8.0,West Ham,80,3.782,79,3.845,75,4.019,75,3.795
G,2,Leno,4.6,4.6,Fulham,89,3.858,88,4.08,87,4.166,87,3.151
D,272,W.Fofana,4.3,4.3,Chelsea,83,3.408,82,4.482,78,4.417,77,2.869
M,120,Caicedo,5.0,5.0,Brighton,83,2.777,82,4.715,78,5.081,74,2.428
D,312,Dias,6.0,6.0,Man City,57,2.349,62,2.92,70,6.504,69,3.131
F,66,Solanke,5.6,5.5,Bournemouth,86,3.67,82,3.775,79,3.517,80,3.87
D,280,Van Dijk,6.6,6.6,Liverpool,87,3.735,81,3.354,80,3.708,79,3.87
F,80,Toney,7.4,7.4,Brentford,85,4.288,73,4.599,57,3.006,46,2.274
G,15,Ramsdale,4.8,4.8,Arsenal,87,2.974,86,3.043,87,3.845,85,4.265
G,455,Fabianski,4.9,4.9,West Ham,89,3.252,86,3.356,86,3.956,85,3.546
F,28,Jesus,8.1,8.1,Arsenal,72,3.524,69,3.478,68,3.744,67,3.351
M,407,Ward-Prowse,6.1,6.1,Southampton,87,3.813,85,3.804,84,3.165,81,3.238
