Pos,ID,Name,BV,SV,Team,38_xMins,38_Pts
M,283,Salah,13.1,13.1,Liverpool,61,6.241
M,333,Fernandes,9.5,9.5,Man Utd,74,5.375
F,427,Kane,11.5,11.5,Spurs,84,5.284
M,7,Ødegaard,6.9,6.9,Arsenal,81,5.082
M,13,Saka,8.0,8.0,Arsenal,75,4.968
M,335,Rashford,7.2,6.9,Man Utd,74,4.954
M,314,Foden,8.0,8.0,Man City,61,4.844
M,303,Mahrez,7.5,7.4,Man City,62,4.792
M,169,Eze,5.7,5.7,Crystal Palace,74,4.788
F,28,Jesus,8.1,8.1,Arsenal,77,4.68
M,261,Maddison,7.8,7.8,Leicester,79,4.372
G,175,Johnstone,4.4,4.4,Crystal Palace,82,4.342
F,262,Iheanacho,5.8,5.8,Leicester,54,4.338
D,357,Trippier,6.0,5.9,Newcastle,83,4.306
D,188,Mina,4.3,4.3,Everton,81,4.299
D,285,Alexander-Arnold,7.8,7.5,Liverpool,63,4.247
F,319,Álvarez,6.1,6.1,Man City,64,4.238
G,355,Dubravka,4.1,4.1,Newcastle,80,4.217
M,569,Garnacho,4.1,4.1,Man Utd,34,4.207
F,279,Firmino,8.0,8.0,Liverpool,42,4.203
M,124,Mitoma,5.7,5.6,Brighton,73,4.065
M,340,Sancho,7.1,7.1,Man Utd,54,4.045
G,182,Pickford,4.4,4.4,Everton,89,4.025
F,66,Solanke,5.6,5.5,Bournemouth,82,3.973
M,428,Son,11.5,11.5,Spurs,71,3.963
D,199,Tarkowski,4.1,4.1,Everton,87,3.949
M,534,McNeil,5.2,5.2,Everton,81,3.94
F,40,Watkins,7.3,7.3,Aston Villa,80,3.928
D,10,White,5.0,5.0,Arsenal,86,3.914
D,16,Gabriel,5.2,5.2,Arsenal,86,3.914
M,493,Gibbs-White,5.5,5.5,Nott'm Forest,84,3.902
M,185,A.Doucouré,5.3,5.3,Everton,79,3.858
M,593,Casemiro,4.9,4.9,Man Utd,70,3.804
M,264,Barnes,6.6,6.6,Leicester,54,3.781
G,15,Ramsdale,4.8,4.8,Arsenal,87,3.779
M,3,Xhaka,4.8,4.8,Arsenal,79,3.773
M,465,Bowen,8.0,8.0,West Ham,75,3.724
M,171,Olise,5.3,5.3,Crystal Palace,75,3.706
F,594,Isak,7.0,7.0,Newcastle,67,3.687
F,356,Wilson,7.3,7.3,Newcastle,68,3.672
F,95,Mbeumo,5.7,5.7,Brentford,76,3.668
D,586,Estupiñán,5.0,5.0,Brighton,76,3.652
G,102,Steele,4.0,3.9,Brighton,87,3.613
D,8,Tierney,4.6,4.6,Arsenal,74,3.581
D,165,Andersen,4.5,4.5,Crystal Palace,81,3.58
M,603,Paquetá,5.9,5.9,West Ham,70,3.542
G,518,Hennessey,3.9,3.9,Nott'm Forest,89,3.536
G,327,De Gea,5.1,5.1,Man Utd,88,3.519
M,186,Iwobi,4.9,4.9,Everton,84,3.47
G,455,Fabianski,4.9,4.9,West Ham,86,3.461
D,309,Laporte,5.6,5.6,Man City,51,3.458
D,377,Botman,4.5,4.5,Newcastle,81,3.455
D,366,Schär,5.1,5.1,Newcastle,80,3.447
