"ID","Name","Pos","Team","Price","xPts 2","xMin 2","xPts 3","xMin 3","xPts 4","xMin 4","xPts 5","xMin 5","xPts 6","xMin 6","xPts GW2-38"
"283","Salah","MID","LIV","13","6.56","79.52","5.55","79.52","8.02","79.52","6.10","78.65","6.25","78.65","229.78"
"318","Haaland","FWD","MCI","11.6","6.37","68.50","4.32","68.50","5.24","68.50","6.18","68.50","4.62","68.50","190.43"
"306","Cancelo","DEF","MCI","7","6.23","83.02","4.56","81.71","5.52","80.64","5.69","78.50","4.48","78.50","179.72"
"301","De Bruyne","MID","MCI","12","6.12","69.55","4.22","69.55","5.08","69.55","5.96","69.55","4.49","69.55","183.25"
"285","Trent","DEF","LIV","7.5","6.08","82.14","4.55","82.14","6.78","82.14","5.70","82.14","5.48","82.14","202.60"
"314","Foden","MID","MCI","8","5.51","69.04","3.87","69.04","4.61","69.04","5.33","69.04","4.11","69.04","166.24"
"284","Robertson","DEF","LIV","7","5.20","82.14","3.83","82.14","5.42","78.24","4.70","78.24","4.48","78.24","164.85"
"28","Jesus","FWD","ARS","8","5.16","73.40","4.99","73.40","5.47","73.40","4.70","73.40","4.05","73.40","167.90"
"312","Dias","DEF","MCI","6","5.11","82.14","3.97","82.14","4.76","82.14","4.62","76.36","3.48","71.07","138.85"
"13","Saka","MID","ARS","8","4.85","77.50","4.59","75.74","5.03","75.74","4.45","75.74","3.78","75.74","157.37"
"308","Ake","DEF","MCI","5","4.84","81.71","3.76","81.71","3.54","64.93","2.48","43.50","1.55","34.00","58.39"
"280","van Dijk","DEF","LIV","6.5","4.71","85.43","3.42","85.43","5.07","85.43","4.38","83.89","4.18","83.89","152.01"
"227","Bamford","FWD","LEE","7.5","4.69","74.28","3.67","71.66","3.60","68.68","4.74","68.68","4.02","68.68","147.46"
"307","Ederson","GK","MCI","5.5","4.63","86.76","3.92","86.76","4.43","86.76","4.66","86.76","3.91","86.76","149.27"
"407","Ward-Prowse","MID","SOU","6.5","4.62","81.71","3.61","81.71","3.79","81.71","3.38","81.71","3.69","81.71","138.52"
"281","Alisson","GK","LIV","5.5","4.61","87.43","3.58","87.43","4.85","87.43","4.38","87.43","4.46","87.43","155.16"
"465","Bowen","MID","WHU","8.5","4.59","73.40","4.42","73.40","3.97","73.40","3.97","73.40","3.32","73.40","160.32"
"333","Fernandes","MID","MUN","10","4.55","74.28","3.71","74.28","5.13","74.28","4.63","74.28","4.52","74.28","174.85"
"299","Walker","DEF","MCI","5","4.54","78.93","3.59","78.93","3.87","71.50","3.81","67.14","2.99","64.45","118.21"
"31","E Martinez","GK","AVL","5","4.44","87.81","4.00","87.81","3.88","87.81","3.22","87.81","2.56","87.81","138.63"
"293","Diaz","MID","LIV","8","4.43","73.40","3.80","73.40","5.27","73.40","4.10","71.66","4.20","71.66","142.00"
"19","Martinelli","MID","ARS","6.1","4.42","66.41","3.80","58.36","3.83","53.50","3.40","53.50","2.91","53.50","121.61"
"486","P Neto","MID","WOL","5.5","4.36","76.90","2.97","74.28","3.46","71.66","3.79","71.66","4.18","69.73","119.38"
"33","Digne","DEF","AVL","5","4.32","81.02","3.59","81.02","3.83","81.02","2.82","81.02","2.67","81.02","130.58"
"326","Ronaldo","FWD","MUN","10.5","4.25","70.36","2.77","53.79","3.37","49.21","2.79","44.83","2.56","42.07","101.29"
"478","Sa","GK","WOL","5","4.19","87.81","2.69","87.81","3.87","87.81","4.23","87.81","4.24","87.81","132.65"
"304","Sterling","MID","CHE","10","4.19","67.79","5.07","67.79","5.25","67.79","4.99","67.79","4.90","67.79","170.20"
