Pos,ID,Name,BV,SV,Team,32_xMins,32_Pts,33_xMins,33_Pts,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts
D,1,Cédric,4.2,4.2,Fulham,20,0.83,21,0.72,22,1.16,28,1.23,28,1.15,28,1.23,29,0.73
G,2,Leno,4.6,4.6,Fulham,89,3.71,86,3.21,85,6.15,86,3.65,85,3.55,83,3.64,84,3.06
M,3,Xhaka,4.9,4.9,Arsenal,78,3.60,71,2.05,68,2.52,70,2.31,69,2.54,68,2.77,66,2.76
M,4,Elneny,4.1,4.1,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,1,0.04
D,5,Holding,4.2,4.2,Arsenal,81,4.46,69,1.45,50,2.10,38,1.28,20,0.81,24,1.21,22,1.13
M,6,Partey,4.7,4.7,Arsenal,71,3.05,68,1.98,69,2.51,67,2.17,65,2.36,63,2.54,64,2.61
M,7,Ødegaard,6.7,6.7,Arsenal,83,5.59,79,2.98,79,4.26,78,3.58,78,4.21,78,4.68,78,4.84
D,8,Tierney,4.6,4.6,Arsenal,47,2.98,35,0.98,25,1.24,25,1.01,25,1.17,26,1.46,24,1.40
M,9,Pépé,5.3,5.3,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,10,White,5.0,5.0,Arsenal,85,4.89,83,1.80,80,3.58,79,2.67,77,3.19,77,3.96,77,4.09
F,11,Nketiah,6.4,6.4,Arsenal,5,0.40,7,0.36,8,0.55,10,0.59,12,0.79,14,0.98,16,1.11
M,12,Smith Rowe,5.6,5.6,Arsenal,3,0.25,6,0.35,8,0.54,10,0.58,14,0.89,16,1.06,19,1.28
M,13,Saka,8.6,8.6,Arsenal,81,6.64,79,3.35,78,4.91,78,4.10,76,4.83,73,5.26,73,5.44
D,14,Tomiyasu,4.2,4.2,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,15,Ramsdale,4.9,4.9,Arsenal,89,4.59,88,3.17,87,3.90,86,3.44,86,3.67,87,4.12,85,4.16
D,16,Gabriel,5.3,5.3,Arsenal,87,5.55,82,1.96,79,3.82,78,2.81,78,3.46,72,3.99,75,4.38
D,17,Tavares,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,18,Sambi,4.3,4.3,Crystal Palace,19,0.76,21,0.77,21,0.81,19,0.68,17,0.67,17,0.65,18,0.75
M,19,Martinelli,6.9,6.9,Arsenal,74,5.24,73,2.85,73,4.07,69,3.31,67,3.78,65,4.10,62,4.11
D,20,Pablo Marí,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,21,Maitland-Niles,4.8,4.8,Southampton,0,0.00,41,1.33,42,1.15,40,1.26,39,1.25,41,1.14,37,1.08
M,22,Torreira,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,23,Nelson,4.7,4.7,Arsenal,5,0.42,5,0.31,6,0.41,6,0.36,8,0.50,7,0.49,7,0.49
G,24,Turner,3.8,3.8,Arsenal,1,0.05,2,0.09,2,0.11,4,0.17,4,0.17,3,0.16,4,0.21
M,25,Fábio Vieira,5.6,5.6,Arsenal,11,0.71,14,0.64,17,0.93,15,0.77,15,0.87,17,1.01,16,0.99
D,26,Saliba,5.0,5.0,Arsenal,0,0.00,11,0.24,35,1.47,52,1.65,79,3.01,78,3.70,77,3.82
M,27,Marquinhos,4.6,4.6,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
