Pos,ID,Name,BV,SV,Team,34_xMins,34_Pts,35_xMins,35_Pts,36_xMins,36_Pts,37_xMins,37_Pts,38_xMins,38_Pts
D,1,Cédric,4.2,4.2,Fulham,19,0.99,18,0.72,19,0.76,19,0.83,21,0.56
G,2,Leno,4.6,4.6,Fulham,87,6.10,88,3.57,88,3.58,84,3.63,85,3.00
M,3,Xhaka,4.8,4.8,Arsenal,75,2.80,71,2.30,69,2.54,69,2.79,70,2.87
M,4,Elneny,4.1,4.1,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,5,Holding,4.2,4.2,Arsenal,58,2.48,50,1.57,41,1.63,36,1.71,27,1.41
M,6,Partey,4.7,4.7,Arsenal,69,2.44,68,2.16,68,2.39,69,2.64,66,2.58
M,7,Ødegaard,6.6,6.6,Arsenal,80,4.26,80,3.67,76,4.13,77,4.53,73,4.42
D,8,Tierney,4.6,4.6,Arsenal,22,1.07,25,0.97,27,1.27,26,1.39,28,1.61
M,9,Pépé,5.3,5.3,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,10,White,5.0,5.0,Arsenal,85,3.62,80,2.48,80,3.10,78,3.71,79,4.00
F,11,Nketiah,6.4,6.4,Arsenal,7,0.42,9,0.48,14,0.87,15,0.95,17,1.13
M,12,Smith Rowe,5.6,5.6,Arsenal,4,0.34,6,0.40,8,0.60,9,0.66,10,0.69
M,13,Saka,8.3,8.3,Arsenal,82,5.11,80,4.30,76,4.97,76,5.38,76,5.51
D,14,Tomiyasu,4.2,4.2,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
G,15,Ramsdale,4.8,4.8,Arsenal,89,3.86,88,3.37,86,3.57,86,3.91,86,4.09
D,16,Gabriel,5.3,5.3,Arsenal,86,3.80,81,2.59,81,3.26,79,3.85,77,4.05
D,17,Tavares,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,18,Sambi,4.3,4.3,Crystal Palace,21,0.85,20,0.78,19,0.84,20,0.82,21,0.89
M,19,Martinelli,6.8,6.8,Arsenal,75,4.29,72,3.60,67,3.97,70,4.49,66,4.39
D,20,Pablo Marí,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,21,Maitland-Niles,4.8,4.8,Southampton,38,1.17,34,1.18,32,1.15,32,1.03,32,1.06
M,22,Torreira,4.5,4.5,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,23,Nelson,4.7,4.7,Arsenal,7,0.45,10,0.57,10,0.68,8,0.57,11,0.79
G,24,Turner,3.8,3.8,Arsenal,1,0.06,2,0.09,4,0.15,4,0.17,4,0.18
M,25,Fábio Vieira,5.6,5.6,Arsenal,5,0.38,10,0.54,13,0.78,13,0.84,16,1.04
D,26,Saliba,5.0,5.0,Arsenal,14,0.60,26,0.78,39,1.45,51,2.32,61,2.94
M,27,Marquinhos,4.6,4.6,Arsenal,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,28,Jesus,8.1,8.1,Arsenal,67,3.92,68,3.54,66,4.13,64,4.32,63,4.32
M,29,Coutinho,6.6,6.6,Aston Villa,0,0.00,6,0.36,24,1.51,38,1.91,46,2.61
F,30,Ings,6.4,6.4,West Ham,48,4.38,45,2.44,45,2.30,45,2.87,44,2.41
G,31,Martínez,5.0,5.0,Aston Villa,88,3.19,88,3.65,87,3.53,86,3.03,86,3.39
D,32,Chambers,4.2,4.2,Aston Villa,25,0.70,28,1.08,19,0.73,10,0.26,9,0.31
D,33,Digne,4.5,4.5,Aston Villa,27,1.01,19,0.91,16,0.79,15,0.56,16,0.73
M,34,Traoré,4.9,4.9,Aston Villa,34,1.66,31,1.68,21,1.31,10,0.59,10,0.61
G,35,Olsen,3.9,3.9,Aston Villa,2,0.07,2,0.07,3,0.10,3,0.12,4,0.14
M,36,Sanson,4.3,4.3,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,37,McGinn,5.1,5.1,Aston Villa,84,2.84,79,2.89,74,2.94,71,2.40,71,2.72
D,38,Hause,4.4,4.4,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,39,Mings,4.7,4.7,Aston Villa,84,1.92,81,2.82,80,2.72,79,1.57,78,2.37
F,40,Watkins,7.8,7.5,Aston Villa,86,4.15,86,4.46,84,4.81,84,3.77,83,4.40
M,41,Nakamba,4.3,4.3,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,42,Buendía,5.7,5.7,Aston Villa,78,3.51,76,3.83,71,4.00,69,3.06,65,3.40
D,43,Cash,4.6,4.6,Aston Villa,0,0.00,7,0.29,27,1.06,51,1.17,61,2.05
D,44,Konsa,4.4,4.4,Aston Villa,79,1.86,82,2.85,79,2.73,79,1.62,80,2.46
M,45,Bailey,4.3,4.3,Aston Villa,0,0.00,7,0.39,24,1.43,33,1.61,38,2.11
M,46,Douglas Luiz,4.8,4.8,Aston Villa,83,2.44,77,2.53,74,2.52,70,2.07,68,2.26
M,47,Ramsey,5.3,5.3,Aston Villa,71,2.85,66,2.95,60,2.93,53,2.18,48,2.30
M,48,Chukwuemeka,4.2,4.2,Chelsea,6,0.37,6,0.40,8,0.49,7,0.79,7,0.42
M,49,Iroegbunam,4.5,4.5,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,50,Diego Carlos,4.7,4.7,Aston Villa,19,0.51,16,0.59,18,0.67,20,0.48,17,0.58
M,51,El Ghazi,4.8,4.8,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,52,Davis,5.4,5.4,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,53,Kamara,4.8,4.8,Aston Villa,0,0.00,8,0.29,34,1.09,63,1.68,70,2.03
F,54,Archer,4.2,4.2,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,55,Philogene-Bidace,4.5,4.5,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,56,Guilbert,3.9,3.9,Aston Villa,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,57,Smith,4.3,4.3,Bournemouth,79,2.60,77,2.02,74,2.12,72,1.61,72,2.20
M,58,Stanislas,4.8,4.8,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
D,59,Fredericks,4.4,4.4,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,60,Brooks,5.3,5.3,Bournemouth,4,0.33,5,0.32,4,0.30,5,0.37,5,0.36
M,61,Lowe,5.2,5.2,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
F,62,Moore,4.9,4.9,Bournemouth,2,0.11,2,0.09,3,0.16,4,0.23,4,0.22
M,63,Marcondes,4.7,4.7,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
M,64,Lerma,4.7,4.7,Bournemouth,79,2.53,79,2.22,76,2.17,72,2.09,72,2.12
D,65,Stacey,4.2,4.2,Bournemouth,15,0.58,11,0.38,12,0.42,13,0.39,15,0.54
F,66,Solanke,5.6,5.5,Bournemouth,84,4.85,82,3.71,79,3.52,79,3.69,78,3.63
M,67,Cook,4.9,4.9,Bournemouth,24,0.93,21,0.78,22,0.80,20,0.74,22,0.82
M,68,Pearson,4.4,4.4,Bournemouth,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00
