Pos,ID,Name,BV,SV,Team,38_xMins,38_Pts
D,1,Cédric,4.2,4.2,Fulham,22,0.59
G,2,Leno,4.6,4.6,Fulham,86,3.02
M,3,Xhaka,4.8,4.8,Arsenal,78,3.44
M,4,Elneny,4.1,4.1,Arsenal,0,0.00
D,5,Holding,4.2,4.2,Arsenal,17,0.77
M,6,Partey,4.7,4.7,Arsenal,49,1.94
M,7,Ødegaard,6.9,6.9,Arsenal,81,5.23
D,8,Tierney,4.6,4.6,Arsenal,75,3.98
M,9,Pépé,5.3,5.3,Arsenal,0,0.00
D,10,White,5.0,5.0,Arsenal,86,3.93
F,11,Nketiah,6.3,6.3,Arsenal,28,1.94
M,12,Smith Rowe,5.6,5.6,Arsenal,17,1.26
M,13,Saka,8.0,8.0,Arsenal,73,5.75
D,14,Tomiyasu,4.2,4.2,Arsenal,0,0.00
G,15,Ramsdale,4.8,4.8,Arsenal,89,3.97
D,16,Gabriel,5.2,5.2,Arsenal,86,4.33
D,17,Tavares,4.5,4.5,Arsenal,0,0.00
M,18,Sambi,4.3,4.3,Crystal Palace,38,1.55
M,19,Martinelli,6.5,6.5,Arsenal,0,0.00
D,20,Pablo Marí,4.5,4.5,Arsenal,0,0.00
M,21,Maitland-Niles,4.8,4.8,Southampton,50,1.41
M,22,Torreira,4.5,4.5,Arsenal,0,0.00
M,23,Nelson,4.7,4.7,Arsenal,11,0.82
G,24,Turner,3.8,3.8,Arsenal,0,0.00
M,25,Fábio Vieira,5.6,5.6,Arsenal,20,1.37
D,26,Saliba,4.9,4.9,Arsenal,0,0.00
M,27,Marquinhos,4.6,4.6,Arsenal,0,0.00
F,28,Jesus,8.1,8.1,Arsenal,77,5.52
M,29,Coutinho,6.6,6.6,Aston Villa,0,0.00
F,30,Ings,6.3,6.3,West Ham,57,3.19
G,31,Martínez,5.0,5.0,Aston Villa,89,3.41
D,32,Chambers,4.2,4.2,Aston Villa,16,0.57
D,33,Digne,4.5,4.5,Aston Villa,59,2.63
M,34,Traoré,4.9,4.9,Aston Villa,19,1.35
G,35,Olsen,3.9,3.9,Aston Villa,0,0.00
M,36,Sanson,4.3,4.3,Aston Villa,0,0.00
M,37,McGinn,5.1,5.1,Aston Villa,69,2.86
D,38,Hause,4.4,4.4,Aston Villa,0,0.00
D,39,Mings,4.7,4.7,Aston Villa,81,2.49
F,40,Watkins,7.3,7.3,Aston Villa,79,5.17
M,41,Nakamba,4.3,4.3,Aston Villa,0,0.00
