,id,orig_name,Pos,pP,gw,source
0,308.0,Salah,M,6.446,1,spiros
1,355.0,Haaland,F,6.912,1,spiros
2,349.0,De Bruyne,M,6.028,1,spiros
3,516.0,Son,M,5.39,1,spiros
4,373.0,Fernandes,M,6.053,1,spiros
5,19.0,Saka,M,5.991,1,spiros
6,396.0,Rashford,M,5.781,1,spiros
7,14.0,Ødegaard,M,5.681,1,spiros
8,12.0,Martinelli,M,5.561,1,spiros
9,504.0,Maddison,M,4.764,1,spiros
10,430.0,Trippier,D,4.899,1,spiros
11,108.0,Mbeumo,M,5.109,1,spiros
12,143.0,Mitoma,M,5.495,1,spiros
13,226.0,Eze,M,5.06,1,spiros
14,216.0,Sterling,M,4.098,1,spiros
15,290.0,Alexander-Arnold,D,4.284,1,spiros
16,60.0,Watkins,F,3.92,1,spiros
17,599.0,Diaby,M,3.884,1,spiros
18,353.0,Foden,M,4.469,1,spiros
19,211.0,N.Jackson,F,3.668,1,spiros
20,134.0,Groß,M,4.873,1,spiros
21,195.0,Chilwell,D,3.288,1,spiros
22,307.0,Robertson,D,3.91,1,spiros
23,368.0,Stones,D,4.321,1,spiros
24,206.0,James,D,3.245,1,spiros
25,131.0,Estupiñán,D,5.615,1,spiros
26,5.0,Gabriel,D,5.338,1,spiros
27,352.0,Ederson,G,4.142,1,spiros
28,209.0,Mount,M,4.44,1,spiros
29,350.0,Dias,D,4.173,1,spiros
30,140.0,March,M,4.532,1,spiros
31,230.0,Johnstone,G,4.326,1,spiros
32,398.0,Shaw,D,4.891,1,spiros
33,424.0,Pope,G,3.936,1,spiros
34,86.0,Tavernier,M,4.32,1,spiros
35,526.0,Bowen,M,4.369,1,spiros
36,433.0,Wilson,F,3.846,1,spiros
37,148.0,Steele,G,5.165,1,spiros
38,313.0,Van Dijk,D,3.658,1,spiros
39,20.0,Saliba,D,5.157,1,spiros
40,31.0,Zinchenko,D,5.1,1,spiros
41,291.0,Alisson,G,3.65,1,spiros
42,379.0,Eriksen,M,4.205,1,spiros
43,119.0,Wissa,F,3.93,1,spiros
44,437.0,Awoniyi,F,3.391,1,spiros
45,267.0,Andreas,M,3.897,1,spiros
46,597.0,Onana,G,4.473,1,spiros
47,35.0,Buendía,M,3.402,1,spiros
48,415.0,Isak,F,3.769,1,spiros
49,187.0,Arrizabalaga,G,3.134,1,spiros
50,447.0,Gibbs-White,M,3.458,1,spiros
51,29.0,White,D,4.94,1,spiros
52,539.0,Paquetá,M,4.093,1,spiros
53,263.0,Pickford,G,4.008,1,spiros
54,49.0,Martínez,G,3.03,1,spiros
55,341.0,Akanji,D,3.806,1,spiros
56,13.0,Nketiah,F,3.748,1,spiros
57,303.0,Luis Díaz,M,3.638,1,spiros
58,402.0,Almirón,M,3.724,1,spiros
59,112.0,Pinnock,D,3.878,1,spiros
60,344.0,Bernardo,M,3.839,1,spiros
61,509.0,Richarlison,M,3.546,1,spiros
62,85.0,Solanke,F,3.913,1,spiros
63,101.0,Flekken,G,3.811,1,spiros
64,275.0,Leno,G,3.704,1,spiros
