ID,Name,Pos,Team,Price,38_fix,38_xmins,38_pts,38_g,38_a,38_cs,38_bon,38_dmins,38_likelihood
1,Cédric,2,FUL,42,(A): MUN,20.66,0.568,0.005,0.023,0.016,0.014,20.66,1
2,Leno,1,FUL,46,(A): MUN,86.15,3.033,0,0.001,0.087,0.255,86.15,1
3,Xhaka,3,ARS,48,(H): WOL,78.93,3.403,0.15,0.164,0.343,0.254,78.93,1
4,Elneny,3,ARS,41,(H): WOL,0,0,0,0,0,0,0,1
5,Holding,2,ARS,42,(H): WOL,18.21,0.816,0.016,0.006,0.061,0.064,18.21,1
6,Partey,3,ARS,47,(H): WOL,47.94,1.885,0.061,0.063,0.195,0.1,47.94,1
7,Ødegaard,3,ARS,69,(H): WOL,81.02,5.13,0.299,0.341,0.351,0.545,81.02,1
8,Tierney,2,ARS,46,(H): WOL,74.02,3.751,0.038,0.151,0.329,0.327,74.02,1
9,Pépé,3,ARS,53,,0,0,0,0,0,0,,
10,White,2,ARS,50,(H): WOL,85.78,3.739,0.033,0.084,0.367,0.321,85.78,1
11,Nketiah,4,ARS,63,(H): WOL,29.15,2.004,0.189,0.08,0,0.254,29.15,1
12,Smith Rowe,3,ARS,56,(H): WOL,16.84,1.228,0.055,0.062,0.027,0.103,16.84,1
13,Saka,3,ARS,80,(H): WOL,75.18,5.843,0.479,0.324,0.328,0.632,75.18,1
14,Tomiyasu,2,ARS,42,(H): WOL,0,0,0,0,0,0,0,1
15,Ramsdale,1,ARS,48,(H): WOL,87.43,3.78,0,0.002,0.369,0.236,87.43,1
16,Gabriel,2,ARS,52,(H): WOL,85.85,4.117,0.107,0.056,0.364,0.347,85.85,1
17,Tavares,2,ARS,45,,0,0,0,0,0,0,,
18,Sambi,3,CRY,43,(H): NFO,38.78,1.592,0.036,0.039,0.124,0.086,38.78,1
19,Martinelli,3,ARS,65,(H): WOL,0,0,0,0,0,0,0,1
20,Pablo Marí,2,ARS,45,,0,0,0,0,0,0,,
21,Maitland-Niles,3,SOU,48,(H): LIV,51.2,1.419,0.013,0.038,0.039,0.049,51.2,1
22,Torreira,3,ARS,45,,0,0,0,0,0,0,,
23,Nelson,3,ARS,47,(H): WOL,9.49,0.682,0.031,0.034,0.004,0.051,9.49,1
24,Turner,1,ARS,38,(H): WOL,2.39,0.105,0,0,0.01,0.007,2.39,1
25,Fábio Vieira,3,ARS,56,(H): WOL,20.4,1.361,0.064,0.065,0.04,0.107,20.4,1
26,Saliba,2,ARS,49,(H): WOL,0,0,0,0,0,0,0,1
27,Marquinhos,3,ARS,46,,0,0,0,0,0,0,,
28,Jesus,4,ARS,81,(H): WOL,76.6,5.425,0.523,0.306,0,0.774,76.6,1
29,Coutinho,3,AVL,66,(H): BHA,0,0,0,0,0,0,0,1
30,Ings,4,WHU,63,(A): LEI,58.18,3.179,0.242,0.105,0,0.407,58.18,1
31,Martínez,1,AVL,50,(H): BHA,87.98,3.4,0,0.004,0.211,0.327,87.98,1
32,Chambers,2,AVL,42,(H): BHA,16.58,0.586,0.013,0.013,0.031,0.036,16.58,1
33,Digne,2,AVL,45,(H): BHA,60.22,2.684,0.036,0.15,0.175,0.156,60.22,1
34,Traoré,3,AVL,49,(H): BHA,17.69,1.212,0.061,0.043,0.02,0.095,17.69,1
35,Olsen,1,AVL,39,(H): BHA,1.77,0.068,0,0,0.004,0.005,1.77,1
36,Sanson,3,AVL,43,,0,0,0,0,0,0,,
37,McGinn,3,AVL,51,(H): BHA,70.85,2.908,0.117,0.157,0.178,0.179,70.85,1
38,Hause,2,AVL,44,,0,0,0,0,0,0,,
39,Mings,2,AVL,47,(H): BHA,73.32,2.308,0.039,0.039,0.177,0.159,73.32,1
40,Watkins,4,AVL,73,(H): BHA,79.95,5.175,0.532,0.187,0,0.838,79.95,1
41,Nakamba,3,AVL,43,,0,0,0,0,0,0,,
42,Buendía,3,AVL,57,(H): BHA,62.7,3.844,0.24,0.196,0.185,0.332,62.7,1
43,Cash,2,AVL,46,(H): BHA,51.07,1.862,0.035,0.065,0.123,0.116,51.07,1
44,Konsa,2,AVL,44,(H): BHA,69.14,2.147,0.033,0.024,0.166,0.142,69.14,1
45,Bailey,3,AVL,43,(H): BHA,56.76,3.443,0.209,0.177,0.161,0.25,56.76,1
46,Douglas Luiz,3,AVL,48,(H): BHA,68.39,2.532,0.077,0.124,0.171,0.182,68.39,1
47,Ramsey,3,AVL,51,(H): BHA,62.32,3.198,0.17,0.143,0.162,0.289,62.32,1
48,Chukwuemeka,3,CHE,42,(H): NEW,7.95,0.44,0.009,0.009,0.004,0.014,7.95,1
49,Iroegbunam,3,AVL,45,,0,0,0,0,0,0,,
50,Diego Carlos,2,AVL,47,(H): BHA,41.17,1.405,0.034,0.018,0.098,0.081,41.17,1
51,El Ghazi,3,AVL,48,,0,0,0,0,0,0,,
52,Davis,4,AVL,54,,0,0,0,0,0,0,,
53,Kamara,3,AVL,48,(H): BHA,63.31,1.972,0.031,0.051,0.166,0.083,63.31,1
54,Archer,4,AVL,42,,0,0,0,0,0,0,,
55,Philogene-Bidace,3,AVL,45,,0,0,0,0,0,0,,
56,Guilbert,2,AVL,39,,0,0,0,0,0,0,,
57,Smith,2,BOU,43,(A): EVE,71.92,1.586,0.014,0.044,0.103,0.039,71.92,1
58,Stanislas,3,BOU,48,(A): EVE,0,0,0,0,0,0,0,1
59,Fredericks,2,BOU,44,(A): EVE,0,0,0,0,0,0,0,1
60,Brooks,3,BOU,53,(A): EVE,13.07,0.701,0.022,0.023,0.003,0.03,13.07,1
61,Lowe,3,BOU,52,,0,0,0,0,0,0,,
62,Moore,4,BOU,49,(A): EVE,10.97,0.564,0.029,0.013,0,0.04,10.97,1
63,Marcondes,3,BOU,47,,0,0,0,0,0,0,,
