,code,first_name,second_name,web_name,16-17,17-18,18-19,19-20,20-21,21-22,22-23,fbref,understat,transfermarkt,23-24,Unnamed: 0
0,11948,Andy,Lonergan,Lonergan,,,,530.0,639.0,571.0,760.0,165cf989,7821.0,14044.0,579.0,
1,15157,James,Milner,Milner,208.0,222.0,254.0,200.0,241.0,221.0,274.0,2f90f6b8,489.0,3333.0,142.0,
2,17601,Scott,Carson,Carson,,,,562.0,608.0,593.0,502.0,3e1550ee,8158.0,14555.0,347.0,
3,17761,James,Tarkowski,Tarkowski,59.0,79.0,72.0,84.0,81.0,98.0,199.0,15ea812b,1665.0,173504.0,265.0,
4,18892,Ashley,Young,Young,260.0,277.0,293.0,224.0,,52.0,538.0,be927d03,631.0,14086.0,588.0,
5,20066,Wayne,Hennessey,Hennessey,100.0,115.0,135.0,132.0,126.0,480.0,518.0,76eca7e2,509.0,45494.0,448.0,
6,20480,Tim,Krul,Krul,,540.0,,280.0,,314.0,,f23f9d20,982.0,33027.0,665.0,
7,21205,Tom,Heaton,Heaton,54.0,74.0,67.0,94.0,28.0,509.0,348.0,a6de6361,1651.0,34130.0,384.0,
8,32259,Darren,Randolph,Randolph,451.0,439.0,,606.0,430.0,407.0,571.0,6385ebfb,540.0,51321.0,80.0,
9,37096,Lukasz,Fabianski,Fabianski,356.0,350.0,400.0,388.0,431.0,408.0,455.0,9328b835,706.0,29692.0,533.0,
10,37642,Jonny,Evans,Evans,431.0,423.0,222.0,162.0,219.0,201.0,249.0,f8fcd2a5,807.0,42412.0,703.0,
11,37915,Hugo,Lloris,Lloris,380.0,375.0,351.0,340.0,383.0,353.0,425.0,8f62b6ee,637.0,17965.0,502.0,
12,39155,Adam,Lallana,Lallana,205.0,228.0,250.0,195.0,54.0,53.0,101.0,99813635,486.0,43530.0,138.0,
13,40145,Jack,Cork,Cork,367.0,90.0,82.0,102.0,84.0,101.0,,74e12f1e,712.0,40613.0,163.0,
14,40383,Fraser,Forster,Forster,294.0,306.0,329.0,317.0,523.0,333.0,426.0,c3e39f12,831.0,52570.0,498.0,
15,40386,Chris,Basham,Basham,,,,423.0,345.0,,,1aa84968,7704.0,52495.0,474.0,
16,40669,Angelo,Ogbonna,Ogbonna,456.0,444.0,403.0,377.0,432.0,409.0,456.0,74b2cd7e,528.0,48002.0,577.0,
17,40836,Vicente,Guaita,Guaita,,,137.0,131.0,128.0,146.0,152.0,ab13a5aa,2190.0,64399.0,227.0,
18,41328,César,Azpilicueta,Azpilicueta,77.0,97.0,113.0,105.0,102.0,119.0,127.0,53cad200,681.0,57500.0,189.0,
19,44683,Jay,Rodriguez,Rodriguez,311.0,437.0,,451.0,86.0,104.0,,4ab53cdb,844.0,53360.0,177.0,
20,45034,Ivan,Perišić,Perišić,,,,,,,448.0,6fe90922,448.0,42460.0,507.0,
21,47247,John,Fleck,Fleck,,,,301.0,346.0,,,b63e789d,7709.0,54383.0,481.0,
22,47431,Willian,Borges da Silva,Willian,86.0,106.0,124.0,113.0,478.0,3.0,614.0,8b9ebd03,700.0,52769.0,591.0,
23,48615,Harry,Arter,Arter,37.0,39.0,33.0,,,,378.0,2f4c5a52,881.0,55742.0,435.0,
24,48760,Mathias,Jorgensen,Zanka,,171.0,195.0,,,594.0,595.0,0db5d2c8,6030.0,52059.0,121.0,
25,49083,Luke,Freeman,Freeman,,,,441.0,477.0,,,636b64cd,7713.0,66923.0,322.0,
26,49262,Jason,Steele,Steele,,,439.0,,528.0,54.0,102.0,28300a16,7235.0,73564.0,148.0,
27,49413,James,Tomkins,Tomkins,103.0,117.0,138.0,124.0,129.0,147.0,153.0,e7ca0439,530.0,61592.0,241.0,
28,50175,Danny,Welbeck,Welbeck,26.0,26.0,21.0,512.0,588.0,447.0,103.0,ce5143da,501.0,67063.0,154.0,
29,50232,Jonjo,Shelvey,Shelvey,,296.0,318.0,269.0,321.0,291.0,349.0,3727dd3c,769.0,71292.0,463.0,
30,51090,Thiago,Emiliano da Silva,Thiago Silva,,,,,490.0,121.0,128.0,86e7deaf,3288.0,29241.0,217.0,
31,51927,Ben,Mee,Mee,56.0,77.0,70.0,83.0,88.0,106.0,526.0,8df7a2fb,1654.0,74810.0,109.0,
32,54469,Adam,Smith,Smith,34.0,35.0,29.0,63.0,,,57.0,20b104bc,825.0,61841.0,84.0,
33,54694,Pierre-Emerick,Aubameyang,Aubameyang,,616.0,23.0,11.0,4.0,4.0,617.0,d5dd5f1f,318.0,58864.0,188.0,
34,55037,Cheikhou,Kouyaté,Kouyaté,459.0,451.0,412.0,139.0,133.0,150.0,583.0,8d3c902d,532.0,66934.0,451.0,
35,55459,Aaron,Cresswell,Cresswell,454.0,443.0,402.0,376.0,435.0,411.0,457.0,4f974391,534.0,92571.0,530.0,
36,55494,Joel,Ward,Ward,105.0,119.0,441.0,126.0,134.0,474.0,156.0,8a7ff278,510.0,92572.0,242.0,
37,56917,Steve,Cook,Cook,32.0,33.0,27.0,58.0,,,379.0,3e5e4e63,458.0,90836.0,441.0,
38,56979,Jordan,Henderson,Henderson,201.0,225.0,249.0,198.0,244.0,222.0,275.0,935e6b8f,605.0,61651.0,299.0,
39,56983,Matt,Ritchie,Ritchie,,295.0,317.0,251.0,322.0,292.0,350.0,71ef519e,461.0,92469.0,425.0,
40,57328,Nathaniel,Clyne,Clyne,193.0,217.0,241.0,,577.0,493.0,157.0,0442183b,603.0,85177.0,222.0,
41,57531,Michail,Antonio,Antonio,464.0,454.0,415.0,389.0,437.0,413.0,458.0,ac05f970,531.0,104124.0,523.0,
42,58621,Kyle,Walker,Walker,384.0,379.0,265.0,203.0,270.0,249.0,299.0,86dd77d1,638.0,95424.0,369.0,
43,58822,Cédric,Alves Soares,Cédric,301.0,310.0,332.0,486.0,5.0,5.0,1.0,839c14e1,847.0,112988.0,2.0,
44,59735,Karl,Darlow,Darlow,,287.0,308.0,263.0,325.0,294.0,353.0,cde3309f,780.0,99397.0,408.0,
45,59949,Seamus,Coleman,Coleman,126.0,139.0,157.0,144.0,152.0,165.0,178.0,0420d84f,585.0,68390.0,247.0,
46,60232,Craig,Dawson,Dawson,433.0,424.0,,439.0,576.0,414.0,459.0,3e9e06cb,804.0,121477.0,551.0,
47,60252,Andros,Townsend,Townsend,120.0,131.0,149.0,135.0,137.0,482.0,179.0,b28bbd58,775.0,61842.0,727.0,
48,60307,Pascal,Groß,Groß,,70.0,59.0,49.0,57.0,55.0,104.0,8aec0537,239.0,82873.0,134.0,
49,60586,Johann Berg,Gudmundsson,Gudmundsson,473.0,84.0,76.0,96.0,90.0,108.0,,f72293fc,1663.0,89231.0,170.0,
50,60689,Chris,Wood,Wood,,518.0,87.0,91.0,91.0,109.0,354.0,4e9a0555,4456.0,108725.0,468.0,
51,60706,Adrián,San Miguel del Castillo,Adrián,450.0,438.0,399.0,526.0,245.0,223.0,497.0,f76e6b4e,527.0,71271.0,289.0,
52,60914,Joel,Matip,Matip,199.0,219.0,243.0,185.0,246.0,224.0,276.0,b217ef29,332.0,82105.0,305.0,
53,61256,Carlos Henrique,Casimiro,Casemiro,,,,,,,593.0,4d224fe8,2248.0,16306.0,376.0,
54,61366,Kevin,De Bruyne,De Bruyne,235.0,252.0,273.0,215.0,272.0,251.0,301.0,e46012d4,447.0,88755.0,349.0,
55,61558,Thiago,Alcántara do Nascimento,Thiago,,,,,531.0,225.0,277.0,77e84962,229.0,60444.0,310.0,
56,66749,Romelu,Lukaku,Lukaku,143.0,285.0,306.0,232.0,,529.0,,5eae500a,594.0,96341.0,207.0,
57,67089,Martin,Dubravka,Dubravka,,621.0,309.0,262.0,326.0,295.0,355.0,3a949a25,6532.0,74960.0,409.0,
58,69752,Norberto,Murara Neto,Neto,,,,,,,574.0,a9dc785c,1297.0,111819.0,77.0,
59,75115,Callum,Wilson,Wilson,49.0,48.0,43.0,67.0,506.0,296.0,356.0,c596fcb0,468.0,123682.0,433.0,
60,76357,Tom,Cairney,Cairney,,,182.0,,175.0,,200.0,a8748947,6835.0,123275.0,268.0,
61,77794,Kieran,Trippier,Trippier,387.0,382.0,357.0,334.0,,678.0,357.0,21512407,652.0,95810.0,430.0,
62,78830,Harry,Kane,Kane,403.0,394.0,372.0,338.0,388.0,357.0,427.0,21a66f6a,647.0,132098.0,500.0,
63,78916,Dan,Burn,Burn,,,582.0,475.0,61.0,58.0,358.0,b2d31e83,7382.0,134270.0,407.0,
64,79602,Daniel,Bentley,Bentley,,,,,,,717.0,68db6358,11361.0,136401.0,546.0,
65,79934,Oliver,Norwood,Norwood,,68.0,,302.0,349.0,,,43439614,7710.0,73547.0,488.0,
66,80146,Jordan,Ayew,J.Ayew,642.0,373.0,505.0,468.0,140.0,153.0,159.0,da052c14,672.0,108354.0,221.0,
67,80201,Bernd,Leno,Leno,,,2.0,14.0,8.0,1.0,2.0,2628fd2b,181.0,72476.0,275.0,
68,80226,Serge,Aurier,Aurier,,532.0,360.0,336.0,389.0,358.0,628.0,5c2b4f07,3600.0,127032.0,436.0,
69,80607,Christian,Eriksen,Eriksen,394.0,387.0,364.0,343.0,,699.0,519.0,980522ec,646.0,69633.0,379.0,
70,80801,Idrissa,Gueye,Gueye,488.0,155.0,168.0,156.0,,,611.0,72c812f3,668.0,126665.0,254.0,
71,81012,Ryan,Fredericks,Fredericks,,,408.0,380.0,438.0,415.0,59.0,c067631c,6891.0,140191.0,68.0,
72,81441,Mark,Gillespie,Gillespie,,,,,488.0,514.0,,e32958b7,8729.0,142389.0,411.0,
73,82143,Wes,Foderingham,Foderingham,,,,,350.0,,,96cf7b61,8776.0,61697.0,482.0,
74,82514,Tim,Ream,Ream,,,180.0,,176.0,,201.0,28b40c9c,7184.0,145466.0,281.0,
75,82691,George,Baldock,Baldock,,,,294.0,351.0,,,394854c4,7706.0,146690.0,473.0,
76,83283,Nathan,Redmond,Redmond,304.0,324.0,343.0,320.0,365.0,336.0,403.0,ab651565,790.0,129078.0,600.0,
77,83299,Lewis,Dunk,Dunk,,55.0,48.0,42.0,62.0,59.0,106.0,282f75f3,6048.0,148153.0,129.0,
78,83314,Jeff,Hendrick,Hendrick,560.0,86.0,78.0,100.0,485.0,297.0,375.0,989d5705,1746.0,148262.0,414.0,
79,83427,Jack,Robinson,Jack Robinson,,,,611.0,352.0,,,7399c7a8,8286.0,128909.0,576.0,
80,83543,Anthony,Knockaert,Knockaert,,62.0,55.0,52.0,177.0,,202.0,6c679c6d,4497.0,149237.0,273.0,
81,84182,Alphonse,Areola,Areola,,,,,516.0,489.0,473.0,2f965a72,2310.0,120629.0,524.0,
82,84450,Granit,Xhaka,Xhaka,24.0,23.0,17.0,18.0,9.0,7.0,3.0,e61b8aee,204.0,111455.0,30.0,
83,84583,Philippe,Coutinho Correia,Coutinho,203.0,226.0,,,,681.0,29.0,0ef89a37,488.0,80444.0,38.0,
84,84939,Danny,Ings,Ings,216.0,237.0,258.0,313.0,366.0,337.0,30.0,07802f7f,986.0,134294.0,535.0,
85,85955,Jorge Luiz,Frello Filho,Jorginho,,,459.0,118.0,105.0,123.0,130.0,45db685d,1389.0,102017.0,9.0,
86,85971,Son,Heung-min,Son,402.0,390.0,367.0,342.0,390.0,359.0,428.0,92e7e919,453.0,91845.0,516.0,
87,86417,Jeffrey,Schlupp,Schlupp,169.0,123.0,141.0,137.0,142.0,155.0,161.0,3312f911,757.0,157506.0,240.0,
88,87835,Matt,Doherty,Doherty,,,425.0,401.0,457.0,360.0,429.0,d557d734,6852.0,171679.0,598.0,
89,88248,Stefan,Ortega Moreno,Ortega,,,,,,,324.0,c1242d4e,8786.0,85941.0,361.0,
90,88484,Pablo,Sarabia,Sarabia,,,,,,,704.0,9744ff80,2199.0,74230.0,570.0,
