,Pos,ID,Name,9_Pts
0,M,308.0,Salah,6.969
1,M,516.0,Son,6.41
2,F,355.0,Haaland,6.615
3,M,526.0,Bowen,5.112
4,M,504.0,Maddison,5.712
5,M,143.0,Mitoma,4.149
6,M,373.0,Fernandes,5.608
7,D,430.0,Trippier,5.618
8,M,14.0,Ødegaard,4.416
9,M,134.0,Groß,4.207
10,F,60.0,Watkins,4.722
11,M,557.0,Hwang,4.942
12,D,290.0,Alexander-Arnold,5.317
13,M,216.0,Sterling,4.303
14,M,599.0,Diaby,4.699
15,D,36.0,Cash,4.657
16,M,108.0,Mbeumo,5.655
17,M,353.0,Foden,4.606
18,D,29.0,White,3.548
19,D,395.0,Varane,5.12
20,M,140.0,March,3.836
21,F,225.0,Edouard,3.941
22,F,343.0,Álvarez,4.315
23,D,220.0,Andersen,3.464
24,M,396.0,Rashford,4.722
25,D,311.0,Tsimikas,5.11
26,M,365.0,Rodri,4.192
27,D,313.0,Van Dijk,4.961
28,D,405.0,Botman,4.806
29,G,291.0,Alisson,4.706
30,M,501.0,Kulusevski,4.453
31,F,85.0,Solanke,4.296
32,M,664.0,Ward-Prowse,3.92
33,M,12.0,Martinelli,3.789
34,M,309.0,Szoboszlai,4.29
35,G,113.0,Raya,3.308
36,F,8.0,Jesus,3.73
37,D,407.0,Burn,4.503
38,D,31.0,Zinchenko,3.116
39,M,362.0,Palmer,3.784
40,M,249.0,A.Doucouré,3.695
41,F,326.0,Morris,4.363
42,G,424.0,Pope,4.249
43,G,275.0,Leno,3.453
44,F,168.0,Foster,3.71
45,G,49.0,Martínez,3.901
46,D,350.0,Dias,3.689
47,D,197.0,Colwill,3.36
48,G,520.0,Vicario,4.278
49,M,34.0,Bailey,3.751
50,D,584.0,Pau,3.839
51,D,511.0,Romero,4.339
52,M,106.0,Jensen,4.727
53,G,524.0,Areola,3.299
54,M,567.0,Neto,4.004
55,M,542.0,Soucek,3.525
56,D,369.0,Walker,3.577
57,M,412.0,Gordon,3.869
58,M,19.0,Saka,4.888
59,G,569.0,Sá,3.816
60,D,506.0,Pedro Porro,4.233
