Pos,ID,Name,BV,SV,Team,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts,13_xMins,13_Pts,14_xMins,14_Pts,15_xMins,15_Pts,16_xMins,16_Pts,17_xMins,17_Pts,18_xMins,18_Pts,19_xMins,19_Pts
M,308.0,Salah,126,126,Liverpool,85.0,5.665,85.0,6.836,85.0,7.514,85.0,7.473,85.0,6.641,85.0,5.119,85.0,7.056,85.0,7.515,85.0,6.186,85.0,6.668,85.0,5.872,85.0,7.327
M,516.0,Son,93,93,Spurs,75.0,7.858,75.0,6.733,75.0,6.096,75.0,5.96,75.0,6.605,75.0,6.082,75.0,5.179,75.0,6.432,75.0,5.496,75.0,6.68,75.0,6.537,75.0,5.412
F,355.0,Haaland,141,141,Man City,86.0,5.483,86.0,5.328,86.0,6.066,86.0,7.3,86.0,5.84,86.0,5.242,86.0,5.885,86.0,5.906,86.0,8.127,86.0,6.267,0.0,0.0,86.0,6.285
M,373.0,Fernandes,84,84,Man Utd,88.0,5.303,88.0,5.721,88.0,4.254,88.0,5.409,88.0,6.11,88.0,5.038,88.0,4.309,88.0,4.914,88.0,6.008,88.0,4.339,88.0,5.396,88.0,5.181
M,504.0,Maddison,79,79,Spurs,85.0,5.636,85.0,5.662,85.0,5.083,85.0,4.929,85.0,5.545,85.0,5.21,85.0,4.169,85.0,5.508,85.0,4.529,85.0,5.61,85.0,5.465,85.0,4.582
M,526.0,Bowen,72,72,West Ham,78.0,4.423,78.0,4.834,78.0,5.296,78.0,4.879,78.0,5.611,78.0,5.693,78.0,5.156,78.0,4.682,78.0,5.351,78.0,5.558,78.0,5.027,78.0,4.507
D,430.0,Trippier,68,68,Newcastle,87.0,4.804,87.0,5.463,87.0,5.089,87.0,4.178,87.0,5.121,87.0,4.713,87.0,5.092,87.0,4.749,87.0,4.113,87.0,5.807,87.0,5.458,87.0,6.301
M,14.0,Ødegaard,85,85,Arsenal,82.0,4.298,82.0,4.365,82.0,5.585,82.0,4.403,82.0,5.363,82.0,4.507,82.0,5.292,82.0,5.215,82.0,4.552,82.0,4.246,82.0,4.381,82.0,5.141
D,36.0,Cash,49,49,Aston Villa,77.0,4.925,77.0,4.982,77.0,6.089,77.0,5.007,77.0,5.275,77.0,4.035,77.0,4.979,77.0,3.072,77.0,3.887,77.0,4.162,77.0,6.135,77.0,4.211
D,290.0,Alexander-Arnold,79,79,Liverpool,85.0,3.44,85.0,5.411,85.0,5.914,85.0,5.255,85.0,4.701,85.0,2.714,85.0,5.461,85.0,5.307,85.0,4.299,85.0,4.734,85.0,3.821,85.0,5.137
M,599.0,Diaby,67,67,Aston Villa,77.0,4.88,77.0,4.802,77.0,5.176,77.0,4.873,77.0,4.875,77.0,4.305,77.0,4.885,77.0,4.019,77.0,4.331,77.0,4.374,77.0,5.205,77.0,4.418
M,664.0,Ward-Prowse,63,63,West Ham,80.0,4.069,80.0,4.401,80.0,4.857,80.0,4.429,80.0,5.125,80.0,5.071,80.0,4.745,80.0,4.235,80.0,4.896,80.0,5.069,80.0,4.602,80.0,4.113
D,307.0,Robertson,66,66,Liverpool,80.0,3.514,80.0,5.367,80.0,5.801,80.0,5.137,80.0,4.635,80.0,2.796,80.0,5.341,80.0,5.19,80.0,4.226,80.0,4.682,80.0,3.79,80.0,5.022
M,108.0,Mbeumo,68,68,Brentford,83.0,4.637,83.0,5.65,83.0,4.412,83.0,5.258,83.0,4.206,83.0,4.479,83.0,5.832,83.0,4.232,83.0,5.475,83.0,4.803,0.0,0.0,83.0,5.717
M,19.0,Saka,86,86,Arsenal,65.0,4.168,65.0,4.083,65.0,6.387,65.0,5.159,65.0,5.928,65.0,5.155,65.0,5.059,65.0,5.022,65.0,4.212,65.0,4.11,65.0,4.211,65.0,4.963
M,143.0,Mitoma,66,66,Brighton,73.0,4.034,73.0,3.766,73.0,4.843,73.0,4.561,73.0,5.958,73.0,4.752,73.0,4.179,73.0,4.406,73.0,5.153,73.0,4.021,73.0,4.395,73.0,4.351
