Pos,ID,Name,BV,SV,Team,1_xMins,1_Pts,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts
M,308.0,Salah,125,125,Liverpool,86.58,6.468,86.58,7.33,86.58,5.399,86.58,6.544,86.58,7.127,86.58,7.179
F,355.0,Haaland,140,140,Man City,79.06,6.894,79.06,5.004,79.06,7.667,79.06,6.418,79.06,6.209,79.06,7.016
M,349.0,De Bruyne,105,105,Man City,75.41,6.294,75.41,5.339,75.41,6.349,75.41,6.091,75.41,5.83,75.41,6.409
F,500.0,Kane,125,125,Spurs,89.63,5.383,89.63,5.291,89.63,6.031,89.63,6.168,89.63,7.137,89.63,4.862
M,373.0,Fernandes,85,85,Man Utd,89.65,6.077,89.65,5.388,89.65,6.239,89.65,4.772,89.65,5.106,89.65,6.05
M,19.0,Saka,85,85,Arsenal,83.76,5.982,83.76,5.278,83.76,5.763,83.76,5.185,83.76,5.483,83.76,5.698
M,12.0,Martinelli,80,80,Arsenal,77.47,5.794,77.47,5.134,77.47,5.529,77.47,4.93,77.47,5.375,77.47,5.353
M,396.0,Rashford,90,90,Man Utd,82.29,5.773,82.29,5.286,82.29,5.8,82.29,4.458,82.29,4.597,82.29,5.63
M,14.0,Ødegaard,85,85,Arsenal,84.65,5.682,84.65,4.994,84.65,5.407,84.65,4.775,84.65,5.244,84.65,5.196
M,516.0,Son,90,90,Spurs,80.17,5.015,80.17,4.925,80.17,5.511,80.17,5.578,80.17,5.766,80.17,4.384
M,504.0,Maddison,75,75,Spurs,82.63,4.772,82.63,4.731,82.63,5.357,82.63,5.439,82.63,5.68,82.63,4.169
M,134.0,Groß,65,65,Brighton,87.57,5.576,87.57,5.065,87.57,5.044,87.57,4.39,87.57,4.256,87.57,5.348
M,108.0,Mbeumo,65,65,Brentford,76.45,4.998,76.45,4.788,76.45,4.948,76.45,5.257,76.45,4.066,76.45,5.109
F,8.0,Jesus,80,80,Arsenal,79.38,4.936,79.38,4.656,79.38,4.923,79.38,4.403,79.38,4.869,79.38,4.715
D,290.0,Alexander-Arnold,80,80,Liverpool,78.97,4.25,78.97,5.969,78.97,3.432,78.97,4.409,78.97,4.996,78.97,5.287
F,117.0,Toney,80,80,Brentford,89.48,4.656,89.48,4.825,89.48,4.643,89.48,4.962,89.48,3.965,89.48,4.891
D,430.0,Trippier,65,65,Newcastle,87.95,4.898,87.95,3.378,87.95,4.441,87.95,4.131,87.95,5.274,87.95,5.816
D,368.0,Stones,55,55,Man City,80.17,4.521,80.17,3.659,80.17,4.777,80.17,4.921,80.17,4.143,80.17,5.514
M,143.0,Mitoma,65,65,Brighton,70.03,4.969,70.03,4.655,70.03,4.569,70.03,4.0,70.03,4.141,70.03,4.785
F,60.0,Watkins,80,80,Aston Villa,84.57,3.918,84.57,4.859,84.57,4.943,84.57,3.944,84.57,4.65,84.57,4.437
G,17.0,Ramsdale,50,50,Arsenal,90.0,5.25,90.0,3.848,90.0,4.723,90.0,3.93,90.0,4.102,90.0,4.519
F,415.0,Isak,75,75,Newcastle,69.09,4.453,69.09,3.951,69.09,4.203,69.09,4.03,69.09,4.403,69.09,5.165
D,131.0,Estupiñán,50,50,Brighton,76.4,5.554,76.4,4.404,76.4,4.474,76.4,3.276,76.4,3.23,76.4,5.118
D,5.0,Gabriel,50,50,Arsenal,89.71,5.337,89.71,3.709,89.71,4.636,89.71,3.792,89.71,4.034,89.71,4.491
D,350.0,Dias,55,55,Man City,76.81,4.228,76.81,3.378,76.81,4.479,76.81,4.615,76.81,3.855,76.81,5.198
D,307.0,Robertson,65,65,Liverpool,75.85,3.826,75.85,5.484,75.85,3.028,75.85,3.954,75.85,4.558,75.85,4.819
F,278.0,Mitrović,75,75,Fulham,83.75,4.463,83.75,4.182,83.75,3.73,83.75,3.662,83.75,5.328,83.75,4.245
G,352.0,Ederson,55,55,Man City,90.0,4.142,90.0,3.48,90.0,4.339,90.0,4.621,90.0,3.803,90.0,5.071
M,226.0,Eze,65,65,Crystal Palace,69.24,4.431,69.24,3.791,69.24,3.955,69.24,4.567,69.24,3.994,69.24,4.389
D,341.0,Akanji,50,50,Man City,78.76,4.092,78.76,3.343,78.76,4.347,78.76,4.488,78.76,3.716,78.76,5.077
D,29.0,White,55,55,Arsenal,80.37,5.164,80.37,3.535,80.37,4.474,80.37,3.674,80.37,3.866,80.37,4.324
D,20.0,Saliba,50,50,Arsenal,89.44,5.187,89.44,3.55,89.44,4.465,89.44,3.59,89.44,3.863,89.44,4.288
M,140.0,March,65,65,Brighton,82.39,4.576,82.39,4.28,82.39,4.223,82.39,3.608,82.39,3.772,82.39,4.459
D,31.0,Zinchenko,50,50,Arsenal,78.59,5.124,78.59,3.517,78.59,4.423,78.59,3.689,78.59,3.833,78.59,4.276
G,113.0,Raya,50,50,Brentford,90.0,4.163,90.0,4.05,90.0,4.14,90.0,4.636,90.0,3.133,90.0,4.443
D,342.0,Aké,50,50,Man City,71.96,4.023,71.96,3.286,71.96,4.26,71.96,4.375,71.96,3.674,71.96,4.925
D,313.0,Van Dijk,60,60,Liverpool,88.59,3.658,88.59,5.265,88.59,2.911,88.59,3.777,88.59,4.313,88.59,4.606
M,354.0,Grealish,75,75,Man City,73.25,4.138,73.25,3.58,73.25,4.191,73.25,4.151,73.25,3.925,73.25,4.326
G,145.0,Sánchez,45,45,Brighton,90.0,5.02,90.0,3.959,90.0,4.088,90.0,3.252,90.0,3.22,90.0,4.603
G,291.0,Alisson,55,55,Liverpool,90.0,3.65,90.0,5.012,90.0,3.079,90.0,3.77,90.0,4.153,90.0,4.471
M,6.0,Havertz,75,75,Arsenal,73.29,4.338,73.29,3.848,73.29,4.119,73.29,3.744,73.29,3.995,73.29,4.056
D,398.0,Shaw,55,55,Man Utd,82.32,4.889,82.32,3.775,82.32,5.046,82.32,2.72,82.32,3.282,82.32,4.258
D,369.0,Walker,50,50,Man City,72.33,3.872,72.33,3.145,72.33,4.113,72.33,4.231,72.33,3.519,72.33,4.79
M,526.0,Bowen,70,70,West Ham,85.05,4.405,85.05,4.154,85.05,3.552,85.05,4.528,85.05,3.456,85.05,3.549
M,86.0,Tavernier,55,55,Bournemouth,75.65,4.236,75.65,3.571,75.65,4.166,75.65,3.868,75.65,4.035,75.65,3.572
M,379.0,Eriksen,60,60,Man Utd,73.07,4.205,73.07,3.818,73.07,4.23,73.07,3.427,73.07,3.546,73.07,4.104
G,385.0,Henderson,45,45,Man Utd,90.0,4.569,90.0,3.687,90.0,4.728,90.0,2.914,90.0,3.33,90.0,4.056
M,216.0,Sterling,70,70,Chelsea,67.36,3.351,67.36,3.763,67.36,4.262,67.36,4.133,67.36,4.008,67.36,3.633
M,209.0,Mount,70,70,Man Utd,68.5,4.148,68.5,3.773,68.5,4.17,68.5,3.331,68.5,3.439,68.5,4.056
M,253.0,Gray,55,55,Everton,75.79,3.968,75.79,3.55,75.79,4.207,75.79,4.032,75.79,3.568,75.79,3.57
M,591.0,Willian,55,55,Fulham,78.78,4.045,78.78,3.824,78.78,3.403,78.78,3.245,78.78,4.444,78.78,3.905
G,187.0,Arrizabalaga,50,50,Chelsea,88.45,3.134,88.45,3.552,88.45,4.561,88.45,4.356,88.45,3.689,88.45,3.466
M,447.0,Gibbs-White,60,60,Nott'm Forest,85.16,3.483,85.16,4.339,85.16,3.555,85.16,3.743,85.16,4.269,85.16,3.355
M,304.0,Mac Allister,60,60,Liverpool,82.34,3.643,82.34,4.172,82.34,3.309,82.34,3.705,82.34,3.951,82.34,3.954
G,424.0,Pope,55,55,Newcastle,88.14,3.936,88.14,2.964,88.14,3.568,88.14,3.384,88.14,4.269,88.14,4.595
D,112.0,Pinnock,45,45,Brentford,90.0,3.883,90.0,3.623,90.0,3.859,90.0,4.476,90.0,2.627,90.0,4.244
M,359.0,Mahrez,75,75,Man City,63.77,3.905,63.77,3.285,63.77,3.917,63.77,3.847,63.77,3.683,63.77,4.036
G,227.0,Guaita,45,45,Crystal Palace,90.0,4.069,90.0,3.217,90.0,3.446,90.0,4.349,90.0,3.327,90.0,4.207
D,129.0,Dunk,50,50,Brighton,90.0,4.927,90.0,3.745,90.0,3.86,90.0,2.802,90.0,2.749,90.0,4.5
D,377.0,Dalot,50,50,Man Utd,82.77,4.635,82.77,3.534,82.77,4.792,82.77,2.532,82.77,3.078,82.77,4.013
F,297.0,Gakpo,75,75,Liverpool,69.29,3.643,69.29,3.981,69.29,3.438,69.29,3.665,69.29,3.977,69.29,3.878
