,week,name,pos,type,team,buy_price,sell_price,xP,xMin,squad,lineup,bench,captain,vicecaptain,transfer_in,transfer_out,multiplier,xp_cont
15,10,A.Becker,GKP,1,Liverpool,5.5,0.0,5.5,89.0,1,1,-1,0,0,1,0,1,5.4970572698701385
5,10,Trippier,DEF,2,Newcastle,0.0,0.0,5.38,87.0,1,1,-1,0,0,0,0,1,5.380333289192173
11,10,White,DEF,2,Arsenal,5.6,0.0,5.92,84.0,1,1,-1,0,0,1,0,1,5.918149251650777
13,10,Tsimikas,DEF,2,Liverpool,4.5,0.0,6.4,78.0,1,1,-1,0,0,1,0,1,6.4042215399362545
10,10,Cash,DEF,2,Aston Villa,0.0,0.0,6.71,80.0,1,1,-1,0,0,0,0,1,6.707675909699849
4,10,Mitoma,MID,3,Brighton,6.5,0.0,5.01,76.0,1,1,-1,0,0,1,0,1,5.00652907327805
2,10,Saka,MID,3,Arsenal,8.5,0.0,6.44,86.0,1,1,-1,0,0,1,0,1,6.444561723699808
1,10,Son,MID,3,Spurs,0.0,0.0,6.83,77.0,1,1,-1,0,1,0,0,1,6.833632319993922
0,10,Salah,MID,3,Liverpool,0.0,0.0,7.32,87.0,1,1,-1,1,0,0,0,2,14.631185051734608
14,10,Foster,FWD,4,Burnley,5.0,0.0,5.62,75.0,1,1,-1,0,0,1,0,1,5.620765079758702
6,10,Watkins,FWD,4,Aston Villa,8.3,0.0,6.02,86.0,1,1,-1,0,0,1,0,1,6.0152019707013675
20,10,Verbruggen,GKP,1,Brighton,4.4,0.0,2.94,70.0,1,0,0,0,0,1,0,0,0.0
9,10,J.Alvarez,FWD,4,Man City,0.0,0.0,4.95,78.0,1,0,1,0,0,0,0,0,0.0
16,10,Andersen,DEF,2,Crystal Palace,0.0,0.0,4.45,85.0,1,0,2,0,0,0,0,0,0.0
12,10,Hee Chan,MID,3,Wolves,5.4,0.0,3.66,72.0,1,0,3,0,0,1,0,0,0.0
19,10,Leno,GKP,1,Fulham,0.0,4.7,3.2,89.0,0,0,-1,0,0,0,1,0,0.0
17,10,Raya,GKP,1,Arsenal,0.0,4.8,5.49,85.0,0,0,-1,0,0,0,1,0,0.0
23,10,Robertson,DEF,2,Liverpool,0.0,6.5,0.0,0.0,0,0,-1,0,0,0,1,0,0.0
21,10,R.Varane,DEF,2,Man Utd,0.0,5.0,3.89,50.0,0,0,-1,0,0,0,1,0,0.0
7,10,B.Fernandes,MID,3,Man Utd,0.0,8.3,4.24,88.0,0,0,-1,0,0,0,1,0,0.0
8,10,Mbeumo,MID,3,Brentford,0.0,6.6,5.0,83.0,0,0,-1,0,0,0,1,0,0.0
3,10,Maddison,MID,3,Spurs,0.0,8.0,5.85,80.0,0,0,-1,0,0,0,1,0,0.0
22,10,Mubama,FWD,4,West Ham,0.0,4.3,0.22,1.0,0,0,-1,0,0,0,1,0,0.0
18,10,Solanke,FWD,4,Bournemouth,0.0,6.4,4.04,88.0,0,0,-1,0,0,0,1,0,0.0
36,11,A.Becker,GKP,1,Liverpool,0.0,0.0,4.63,89.0,1,1,-1,0,0,0,0,1,4.62674707491344
28,11,Trippier,DEF,2,Newcastle,0.0,0.0,4.65,87.0,1,1,-1,0,0,0,0,1,4.653257685452329
34,11,Tsimikas,DEF,2,Liverpool,0.0,0.0,4.69,78.0,1,1,-1,0,0,0,0,1,4.690045173668094
37,11,Andersen,DEF,2,Crystal Palace,0.0,0.0,4.94,85.0,1,1,-1,0,0,0,0,1,4.937220431993821
26,11,Saka,MID,3,Arsenal,0.0,0.0,4.34,86.0,1,1,-1,0,0,0,0,1,4.3396507931432655
27,11,Mitoma,MID,3,Brighton,0.0,0.0,4.79,76.0,1,1,-1,0,0,0,0,1,4.787654311946739
33,11,Hee Chan,MID,3,Wolves,0.0,0.0,6.25,72.0,1,1,-1,0,0,0,0,1,6.251653978885176
25,11,Son,MID,3,Spurs,0.0,0.0,6.3,77.0,1,1,-1,0,0,0,0,1,6.295109307604936
24,11,Salah,MID,3,Liverpool,0.0,0.0,7.65,87.0,1,1,-1,1,0,0,0,2,15.308564335252823
29,11,Watkins,FWD,4,Aston Villa,0.0,0.0,5.06,86.0,1,1,-1,0,0,0,0,1,5.057926063591598
30,11,J.Alvarez,FWD,4,Man City,0.0,0.0,6.93,78.0,1,1,-1,0,1,0,0,1,6.928892879258066
38,11,Verbruggen,GKP,1,Brighton,0.0,0.0,3.22,70.0,1,0,0,0,0,0,0,0,0.0
31,11,Cash,DEF,2,Aston Villa,0.0,0.0,4.32,80.0,1,0,1,0,0,0,0,0,0.0
35,11,Foster,FWD,4,Burnley,0.0,0.0,3.96,75.0,1,0,2,0,0,0,0,0,0.0
32,11,White,DEF,2,Arsenal,0.0,0.0,3.21,84.0,1,0,3,0,0,0,0,0,0.0
53,12,Verbruggen,GKP,1,Brighton,0.0,0.0,5.4,70.0,1,1,-1,0,0,0,0,1,5.399871662215045
